scope,tap,vs,n_frames,routes,auc,auc_lo,auc_hi,auc_vs,delta,lo,hi
hazard pooled,op-lebowski vision,op-lebowski temporal,7639,72,0.5379402152584383,0.5246117987800425,0.5572633391726552,0.5472579057170419,-0.009317690458603645,-0.022888019960549188,0.0022774480062638562
hazard pooled,op-lebowski vision,L18_last,7639,72,0.5379402152584383,0.5246117987800425,0.5572633391726552,0.5900043888780747,-0.052064173619636445,-0.08264215031995019,-0.0247952491787392
hazard pooled,op-lebowski hidden,op-lebowski temporal,7639,72,0.5352206651500581,0.5230913707109757,0.5535751420756112,0.5472579057170419,-0.012037240566983853,-0.026356166774909595,-0.0007512135229794961
hazard pooled,op-lebowski hidden,L18_last,7639,72,0.5352206651500581,0.5230913707109757,0.5535751420756112,0.5900043888780747,-0.05478372372801665,-0.08598570561874694,-0.026165116327704383
hazard pooled,op-cinque temporal,L18_last,7639,72,0.5544768912656871,0.5315096267687381,0.5919596397221112,0.5900043888780747,-0.035527497612387604,-0.07370491422462183,-0.0014731574629177706
hazard pooled,op-lebowski temporal,L18_last,7639,72,0.5472579057170419,0.5302288462254335,0.5739480755912204,0.5900043888780747,-0.0427464831610328,-0.07823648575017694,-0.012266226945515237
DynamicObjectCrossing,op-cinque vision,op-cinque temporal,609,15,0.5660858873870594,0.5376960890430309,0.6096512860055822,0.545989144766111,0.020096742620948405,0.0036182624823129896,0.053579197951619376
DynamicObjectCrossing,op-cinque vision,L18_last,609,15,0.5660858873870594,0.5376960890430309,0.6096512860055822,0.6113739986680364,-0.045288111280976984,-0.0755854361350862,-0.005336839604346186
DynamicObjectCrossing,op-cinque hidden,op-cinque temporal,609,15,0.5694494999743853,0.5445339686808081,0.6008015273783233,0.545989144766111,0.023460355208274275,0.0024906933946139353,0.055097403810371995
DynamicObjectCrossing,op-cinque hidden,L18_last,609,15,0.5694494999743853,0.5445339686808081,0.6008015273783233,0.6113739986680364,-0.04192449869365111,-0.07003540307079864,-0.011876505946753978
DynamicObjectCrossing,op-lebowski vision,op-lebowski temporal,609,15,0.5796225743567345,0.5480218800704292,0.6119671073597048,0.5530561015527892,0.026566472803945307,0.006047966583700887,0.0516191233887448
DynamicObjectCrossing,op-lebowski vision,L18_last,609,15,0.5796225743567345,0.5480218800704292,0.6119671073597048,0.6113739986680364,-0.03175142431130196,-0.06400762565619929,-0.0010893070645434366
DynamicObjectCrossing,op-lebowski hidden,op-lebowski temporal,609,15,0.5740817135415403,0.543743044209253,0.6110026473222336,0.5530561015527892,0.02102561198875108,0.0034251598209952246,0.04974093034088607
DynamicObjectCrossing,op-lebowski hidden,L18_last,609,15,0.5740817135415403,0.543743044209253,0.6110026473222336,0.6113739986680364,-0.03729228512649618,-0.06750566111842134,-0.0004275093759234794
DynamicObjectCrossing,op-cinque temporal,L18_last,609,15,0.545989144766111,0.5191237655225114,0.5759434456721545,0.6113739986680364,-0.06538485390192539,-0.09916595140888948,-0.034086528815687654
DynamicObjectCrossing,op-lebowski temporal,L18_last,609,15,0.5530561015527892,0.5327463707944471,0.5740153211139817,0.6113739986680364,-0.058317897115247264,-0.0868580636919822,-0.029302359808881146
HighwayCutIn,op-cinque vision,op-cinque temporal,1319,9,0.6341980306490373,0.5843974312619586,0.7046442947138022,0.7647199816526523,-0.13052195100361497,-0.17319205259560155,-0.07423503771397201
HighwayCutIn,op-cinque vision,L18_last,1319,9,0.6341980306490373,0.5843974312619586,0.7046442947138022,0.7166760261898043,-0.08247799554076696,-0.19631819795600566,0.01259574253557842
HighwayCutIn,op-cinque hidden,op-cinque temporal,1319,9,0.6920387340559996,0.6207331849407658,0.7609658133028874,0.7647199816526523,-0.07268124759665273,-0.12896186325666595,-0.024659422377028076
HighwayCutIn,op-cinque hidden,L18_last,1319,9,0.6920387340559996,0.6207331849407658,0.7609658133028874,0.7166760261898043,-0.024637292133804722,-0.14384381445948902,0.04811059593514154
HighwayCutIn,op-lebowski vision,op-lebowski temporal,1319,9,0.677274062356841,0.623165488776058,0.7266373667412362,0.7443298246138406,-0.06705576225699961,-0.09138332477759763,-0.03217967310962791
HighwayCutIn,op-lebowski vision,L18_last,1319,9,0.677274062356841,0.623165488776058,0.7266373667412362,0.7166760261898043,-0.03940196383296335,-0.14881179063292094,0.029322457219359572
HighwayCutIn,op-lebowski hidden,op-lebowski temporal,1319,9,0.6803273553091487,0.6077693997544764,0.7509307166109496,0.7443298246138406,-0.06400246930469189,-0.10657211327601021,-0.02527240337281803
