level,route,seed,arm,ds,rc,official_status,ticks,pre_collision_ticks,moving_ticks,collision_step,moving_full_throttle_share,moving_full_brake_share,moving_full_pedal_share,full_pedal_flip_count,full_pedal_flips_per_min,speed_p95_mps,speed_max_mps,target_overshoot_gt2_share,target_undershoot_gt2_share,moving_target_zero_share,moving_target_zero_full_brake_share,target_jump_gt5_count,target_jump_gt5_per_min,stopped_after_2s_share,longest_standstill_after_2s_s,agent_ms_p95,vehicle_collisions,emergency_yield,outside_lane
1,3514,2,B,90.918173,100.0,Completed,2355,2354,438,,0.1461187214611872,0.0502283105022831,0.1963470319634703,36,18.351741716227696,6.304257805958957,7.902692882411623,0.1095890410958904,0.0319634703196347,0.0867579908675799,0.42105263157894735,7,3.56839422259983,0.7632829373650108,55.300000000000004,201.22914134972234,0,0,1
1,3514,2,C,100.0,100.0,Completed,513,512,409,,0.0,0.0,0.0,0,0.0,6.786825003447355,7.085764318120031,0.029339853300733496,0.029339853300733496,0.022004889975550123,0.0,2,4.6875,0.10570824524312897,2.5,181.48052019896568,0,0,0
1,3514,2,D,100.0,100.0,Completed,514,513,410,,0.0,0.0,0.0,0,0.0,6.798039978371898,7.121489753681841,0.03414634146341464,0.03170731707317073,0.03170731707317073,0.0,3,7.017543859649122,0.10759493670886076,2.5500000000000003,186.87177740212064,0,0,0
1,17569,0,A,100.0,100.0,Completed,439,438,331,,0.5166163141993958,0.31419939577039274,0.8308157099697885,31,84.93150684931506,8.94152508730841,9.232356865471848,0.283987915407855,0.19637462235649547,0.24169184290030213,1.0,17,46.575342465753415,0.10025062656641603,1.1,127.65037725021101,0,0,0
1,17569,0,B,60.0,100.0,Completed,506,397,280,398,0.3142857142857143,0.15714285714285714,0.4714285714285714,16,48.362720403022664,8.09062009870144,9.69303764942356,0.07142857142857142,0.3,0.06428571428571428,0.6666666666666666,5,15.113350125944583,0.20391061452513967,2.1,126.22660160050145,1,0,0
1,17569,0,C,100.0,100.0,Completed,647,646,347,,0.0,0.011527377521613832,0.011527377521613832,0,0.0,8.223329188101266,8.822434108623156,0.23054755043227665,0.12680115273775217,0.207492795389049,0.05555555555555555,2,3.7151702786377703,0.3014827018121911,9.1,130.025208751249,0,0,0
1,17569,0,D,100.0,100.0,Completed,419,418,330,,0.0,0.00909090909090909,0.00909090909090909,0,0.0,8.402367717203264,8.768754648685919,0.1303030303030303,0.13333333333333333,0.09696969696969697,0.09375,2,5.741626794258372,0.0,0.0,131.62053730084153,0,0,0
1,17569,1,A,100.0,100.0,Completed,2341,2340,344,,0.46511627906976744,0.34593023255813954,0.811046511627907,38,19.48717948717949,8.004846535211962,9.514312032887108,0.3023255813953488,0.20930232558139536,0.25872093023255816,1.0,19,9.743589743589745,0.8192090395480226,55.45,156.09764910022926,0,0,0
1,17569,1,B,100.0,100.0,Completed,645,644,387,,0.35917312661498707,0.2454780361757106,0.6046511627906976,36,67.0807453416149,8.326484257424935,9.734613727786565,0.18863049095607234,0.3462532299741602,0.17054263565891473,0.696969696969697,9,16.770186335403725,0.2743801652892562,3.6,128.7075541476952,0,0,0
1,17569,1,C,100.0,100.0,Completed,482,481,318,,0.0,0.012578616352201259,0.012578616352201259,0,0.0,8.247013392588643,8.82136066974934,0.13836477987421383,0.13522012578616352,0.1069182389937107,0.11764705882352941,1,2.494802494802495,0.004524886877828055,0.05,128.35362800979055,0,0,0
1,17569,1,D,100.0,100.0,Completed,484,483,331,,0.0,0.01812688821752266,0.01812688821752266,0,0.0,8.363042656030693,8.81615658650247,0.12386706948640483,0.1691842900302115,0.08459214501510574,0.21428571428571427,3,7.453416149068323,0.1373873873873874,1.5,128.6995475020376,0,0,0
1,17569,2,A,100.0,100.0,Completed,558,557,347,,0.4812680115273775,0.3631123919308357,0.8443804034582133,34,73.24955116696589,8.863403054499907,9.386750472248766,0.30547550432276654,0.2132564841498559,0.2680115273775216,1.0,18,38.77917414721723,0.24324324324324326,1.6,129.9574880002183,0,0,0
1,17569,2,B,60.0,100.0,Completed,509,415,286,416,0.32517482517482516,0.17832167832167833,0.5034965034965035,19,54.93975903614458,8.552490313709665,9.51311327858711,0.1258741258741259,0.2762237762237762,0.11188811188811189,0.5,4,11.566265060240964,0.21010638297872342,3.85,128.96870529875738,1,0,0
1,17569,2,C,60.0,100.0,Completed,420,308,258,309,0.0,0.007751937984496124,0.007751937984496124,0,0.0,8.325803509213118,8.836490601079932,0.13953488372093023,0.07751937984496124,0.11627906976744186,0.06666666666666667,2,7.792207792207793,0.0,0.0,128.18252069555456,1,0,0
1,17569,2,D,60.0,100.0,Completed,394,310,259,311,0.0,0.007722007722007722,0.007722007722007722,0,0.0,8.445690925517967,8.770299012401113,0.11969111969111969,0.08494208494208494,0.08494208494208494,0.09090909090909091,3,11.61290322580645,0.0,0.0,132.6445519021945,1,0,0
1,25378,0,A,70.0,100.0,Completed,244,243,226,,0.4911504424778761,0.29646017699115046,0.7876106194690266,16,79.01234567901234,13.748292597754872,14.528312369494005,0.23008849557522124,0.04424778761061947,0.19469026548672566,1.0,16,79.01234567901234,0.0,0.0,118.51595339903724,0,1,0
