route_id,wave,ok,attempt,stop,sim_s,cam_sets,missed,route_completion,collisions,red_light,wall_s
24092,1,True,1,route_end,19.75,101.0,0.0,100.0,1.0,0.0,133.9
2086,1,True,1,route_end,12.3,64.0,0.0,100.0,1.0,0.0,124.4
26990,1,True,1,stuck,34.9,177.0,0.0,25.72,0.0,0.0,144.0
28210,1,True,1,route_end,12.75,66.0,0.0,100.0,1.0,0.0,110.0
28087,1,True,1,route_end,14.5,75.0,0.0,100.0,1.0,0.0,68.8
2115,1,True,1,route_end,16.75,86.0,0.0,100.0,1.0,0.0,123.5
3670,1,True,1,route_end,11.700000000000001,61.0,0.0,100.0,2.0,0.0,135.2
2844,1,True,2,stuck,38.400000000000006,195.0,0.0,53.07,1.0,0.0,262.4
26944,1,True,1,stuck,50.150000000000006,253.0,0.0,93.05,2.0,0.0,216.5
2129,1,True,1,stuck,39.25,199.0,0.0,70.17,2.0,0.0,212.1
3697,1,True,1,route_end,11.700000000000001,61.0,0.0,100.0,1.0,0.0,132.5
1773,1,True,1,stuck,38.0,193.0,0.0,33.36,1.0,0.0,308.6
25318,1,True,1,stuck,37.9,192.0,0.0,31.09,0.0,0.0,154.5
25896,1,True,1,stuck,38.35,194.0,0.0,36.82,0.0,0.0,138.2
25865,1,True,1,stuck,39.2,199.0,0.0,49.48,1.0,0.0,116.2
3248,1,True,1,route_end,22.05,113.0,0.0,100.0,0.0,0.0,175.2
24206,1,True,1,route_end,37.65,191.0,0.0,100.0,1.0,0.0,154.6
24759,1,True,1,route_end,21.200000000000003,109.0,0.0,100.0,1.0,0.0,65.1
18305,1,True,1,route_end,22.75,116.0,0.0,100.0,1.0,0.0,151.5
26393,1,True,1,route_end,22.5,115.0,0.0,100.0,1.0,0.0,78.2
3514,1,True,1,route_end,22.950000000000003,117.0,0.0,100.0,2.0,0.0,183.9
14194,1,True,1,route_end,11.950000000000001,62.0,0.0,100.0,1.0,0.0,120.2
27529,1,True,1,route_end,17.900000000000002,92.0,0.0,100.0,1.0,0.0,73.4
17569,1,True,1,route_end,87.85000000000001,442.0,0.0,100.0,2.0,0.0,389.6
17635,1,True,2,stuck,95.35000000000001,479.0,0.0,66.25,1.0,0.0,392.2
4183,1,True,1,stuck,41.400000000000006,210.0,0.0,40.46,1.0,0.0,237.2
4683,1,True,1,stuck,30.200000000000003,154.0,0.0,40.13,1.0,0.0,205.7
28243,1,True,1,route_end,16.6,86.0,0.0,100.0,1.0,0.0,131.5
28099,1,True,1,route_end,19.700000000000003,101.0,0.0,100.0,1.0,0.0,77.6
26956,1,True,1,route_end,20.5,105.0,0.0,100.0,1.0,0.0,60.6
4937,1,True,1,route_end,12.700000000000001,66.0,0.0,100.0,1.0,0.0,99.6
2709,1,True,1,route_end,22.25,114.0,0.0,100.0,3.0,0.0,213.1
26405,1,True,1,route_end,22.0,113.0,0.0,100.0,0.0,0.0,70.5
28048,1,True,1,stuck,24.25,124.0,0.0,19.57,0.0,0.0,77.0
26458,1,True,1,route_end,15.700000000000001,81.0,0.0,100.0,0.0,0.0,54.3
3178,1,True,1,route_end,10.4,55.0,0.0,100.0,1.0,0.0,96.5
3890,1,True,1,route_end,10.4,55.0,0.0,100.0,0.0,0.0,127.5
3189,1,True,1,route_end,9.9,52.0,0.0,100.0,0.0,0.0,102.5
3905,1,True,1,route_end,10.4,54.0,0.0,100.0,0.0,0.0,134.9
14909,1,True,1,stuck,21.55,110.0,0.0,0.0,0.0,0.0,169.1
25968,1,True,1,stuck,20.05,103.0,0.0,0.0,0.0,0.0,58.7
3876,1,True,2,route_end,15.200000000000001,79.0,0.0,100.0,0.0,0.0,176.2
3144,1,True,1,stuck,22.05,113.0,0.0,3.76,0.0,0.0,174.9
3482,1,True,1,route_end,19.450000000000003,100.0,0.0,100.0,1.0,0.0,180.3
25928,1,True,1,route_end,33.75,171.0,0.0,100.0,1.0,0.0,101.6
2943,1,True,1,route_end,25.5,130.0,0.0,100.0,1.0,0.0,230.0
3712,1,True,1,route_end,17.75,91.0,0.0,100.0,1.0,0.0,163.1
2164,1,True,1,route_end,20.900000000000002,107.0,0.0,100.0,2.0,0.0,143.3
3731,1,True,1,stuck,23.85,122.0,0.0,19.09,0.0,0.0,232.5
3373,1,True,1,route_end,13.55,70.0,0.0,100.0,0.0,0.0,159.9
25378,1,True,1,route_end,11.350000000000001,59.0,0.0,100.0,0.0,0.0,50.7
27494,2,True,1,route_end,24.35,124.0,0.0,100.0,0.0,0.0,80.5
2215,2,True,1,stuck,24.950000000000003,127.0,0.0,30.52,0.0,0.0,218.1
2989,2,True,1,route_end,21.75,111.0,0.0,100.0,0.0,0.0,161.5
3090,2,True,1,route_end,16.05,83.0,0.0,100.0,0.0,0.0,152.5
3099,2,True,1,route_end,34.15,173.0,0.0,100.0,0.0,0.0,315.5
3100,2,True,1,route_end,16.45,85.0,0.0,100.0,0.0,0.0,149.3
2201,2,True,1,stuck,25.200000000000003,129.0,0.0,29.1,0.0,0.0,179.7
2286,2,True,1,route_end,15.8,82.0,0.0,100.0,1.0,0.0,140.5
3072,2,True,1,stuck,36.300000000000004,184.0,0.0,66.95,0.0,0.0,255.5
3080,2,True,1,stuck,34.9,177.0,0.0,68.91,0.0,0.0,200.4
23918,2,True,1,route_end,20.200000000000003,104.0,0.0,100.0,0.0,0.0,172.1
24098,2,True,1,route_end,12.05,63.0,0.0,100.0,0.0,0.0,111.4
23930,2,True,1,route_end,15.3,79.0,0.0,100.0,0.0,0.0,131.6
23771,2,True,1,route_end,22.05,113.0,0.0,100.0,1.0,0.0,130.0
26401,2,True,1,route_end,12.850000000000001,67.0,0.0,100.0,1.0,0.0,59.2
26408,2,True,1,route_end,16.35,84.0,0.0,100.0,0.0,0.0,52.6
2084,2,True,1,route_end,12.350000000000001,64.0,0.0,100.0,1.0,0.0,115.6
2091,2,True,1,stuck,25.950000000000003,132.0,0.0,38.42,1.0,0.0,136.9
2881,2,True,1,route_end,13.0,68.0,0.0,100.0,1.0,0.0,142.5
28219,2,True,1,route_end,12.600000000000001,65.0,0.0,100.0,1.0,0.0,103.5
28093,2,True,1,route_end,12.700000000000001,66.0,0.0,100.0,1.0,0.0,57.2
28229,2,True,1,stuck,24.85,127.0,0.0,22.93,0.0,0.0,157.0
2903,2,True,1,route_end,12.950000000000001,67.0,0.0,100.0,0.0,0.0,120.5
3676,2,True,1,route_end,12.850000000000001,67.0,0.0,100.0,1.0,0.0,124.4
3666,2,True,1,route_end,18.8,97.0,0.0,100.0,2.0,0.0,183.0
26950,2,True,1,route_end,12.3,64.0,0.0,100.0,0.0,0.0,58.1
2847,2,True,1,stuck,30.05,153.0,0.0,45.36,2.0,0.0,180.6
2082,2,True,4,route_end,11.8,62.0,0.0,100.0,0.0,0.0,135.1
2913,2,True,1,route_end,11.25,59.0,0.0,100.0,2.0,0.0,101.7
2127,2,True,1,route_end,11.0,57.0,0.0,100.0,1.0,0.0,96.3
2143,2,True,1,route_end,11.5,60.0,0.0,100.0,2.0,0.0,123.3
17563,2,True,1,max_sim_s,45.0,227.0,0.0,27.85,0.0,0.0,292.1
17598,2,True,2,max_sim_s,45.0,228.0,0.0,71.6,0.0,0.0,306.7
17655,2,True,1,route_end,19.6,101.0,0.0,100.0,1.0,0.0,146.0
3936,2,True,1,route_end,19.35,99.0,0.0,100.0,1.0,0.0,178.7
4468,2,True,1,route_end,16.650000000000002,86.0,0.0,100.0,1.0,0.0,138.5
4669,2,True,1,route_end,17.0,88.0,0.0,100.0,1.0,0.0,134.7
28198,2,True,1,route_end,15.600000000000001,81.0,0.0,100.0,0.0,0.0,55.8
28330,2,True,1,route_end,17.75,91.0,0.0,100.0,1.0,0.0,116.0
28241,2,True,1,route_end,17.900000000000002,92.0,0.0,100.0,1.0,0.0,123.4
27018,2,True,1,route_end,19.200000000000003,99.0,0.0,100.0,1.0,0.0,69.3
26966,2,True,1,route_end,18.5,95.0,0.0,100.0,1.0,0.0,92.3
2050,2,True,1,route_end,15.9,82.0,0.0,100.0,1.0,0.0,126.2
28154,2,True,1,route_end,33.050000000000004,168.0,0.0,100.0,0.0,0.0,96.5
28111,2,True,1,route_end,14.65,76.0,0.0,100.0,0.0,0.0,58.1
28035,2,True,1,stuck,33.1,168.0,0.0,53.9,0.0,0.0,72.1
2403,2,True,1,route_end,9.55,50.0,0.0,100.0,0.0,0.0,76.7
2397,2,True,1,route_end,10.65,56.0,0.0,100.0,0.0,0.0,95.6
2390,2,True,1,route_end,10.5,55.0,0.0,100.0,0.0,0.0,101.3
3184,2,True,1,route_end,10.100000000000001,53.0,0.0,100.0,0.0,0.0,101.7
3904,2,True,1,route_end,9.600000000000001,51.0,0.0,100.0,0.0,0.0,136.2
2416,2,True,1,route_end,9.25,49.0,0.0,100.0,0.0,0.0,96.1
14862,2,True,1,route_end,22.5,115.0,0.0,100.0,0.0,0.0,183.5
25975,2,True,1,stuck,20.05,103.0,0.0,0.0,0.0,0.0,78.5
14842,2,True,1,route_end,23.200000000000003,119.0,0.0,100.0,0.0,0.0,207.9
2373,2,True,1,route_end,15.8,82.0,0.0,100.0,0.0,0.0,136.3
3869,2,True,1,stuck,22.6,116.0,0.0,8.42,0.0,0.0,200.2
3865,2,True,1,stuck,22.400000000000002,114.0,0.0,4.72,0.0,0.0,167.4
2144,2,True,1,route_end,25.650000000000002,131.0,0.0,100.0,1.0,0.0,195.7
3717,2,True,1,route_end,17.05,88.0,0.0,100.0,1.0,0.0,195.6
3708,2,True,1,route_end,16.1,83.0,0.0,100.0,1.0,0.0,151.5
10857,2,True,1,route_end,12.9,67.0,0.0,100.0,2.0,0.0,133.1
3737,2,True,1,stuck,24.25,124.0,0.0,23.27,0.0,0.0,218.1
11381,2,True,1,stuck,23.650000000000002,121.0,0.0,17.18,0.0,0.0,193.0
