direction,tap,family,arm,compare,subset,n,value,delta,lo,hi,halfwidth
1,L18_last,diff,diff qwenvid L18_last,head top-1 - ridge_late,straight dec1-9,5235,2.27811861038208,0.8445020318031311,0.5901172439351061,1.181366012111601,0.2956243840882474
1,L18_last,diff,diff qwenvid L18_last,vision increment: head family - ridge,straight dec1-9,5235,0.6625140309333801,0.6844809651374817,0.4634675713912011,0.9674246492352835,0.2519785389220412
1,L18_last,diff,diff qwenvid L18_last,RFS head top-1 - ridge_late,rater frames,241,7.165364582174772,0.1060277901659649,-0.20381914030161988,0.3837245819968252,0.29377186114922255
1,L18_last,diff,diff qwenvid L18_grid 4x4,head top-1 - ridge_late,pre_onset dec1-9,640,3.497694730758667,1.6802985668182373,1.1904066925972394,2.2845083624264975,0.547050834914629
1,L18_last,diff,diff qwenvid L18_grid 4x4,vision increment: head family - ridge,pre_onset dec1-9,640,1.0248620510101318,1.0702754259109497,0.611609240829664,1.6718587844183337,0.5301247717943349
1,L18_last,diff,diff qwenvid L18_grid 4x4,head top-1 - ridge_late,straight dec1-9,5235,2.426158905029297,0.9925421476364136,0.6962906795142252,1.337335884526784,0.3205226025062794
1,L18_last,diff,diff qwenvid L18_grid 4x4,vision increment: head family - ridge,straight dec1-9,5235,0.8105541467666626,0.8325211405754089,0.5422664628365459,1.141867133571072,0.299800335367263
1,L18_last,diff,diff qwenvid L18_grid 4x4,RFS head top-1 - ridge_late,rater frames,241,6.8864106860290875,-0.17292610597972033,-0.4503389704129654,0.11750511751959446,0.2839220439662799
1,L18_mean,diff,diff qwenvid L18_mean,head top-1 - ridge_late,pre_onset dec1-9,640,3.1553616523742676,1.3747048377990723,1.0498764670123195,1.6996711805313056,0.32489735675949305
1,L18_mean,diff,diff qwenvid L18_mean,vision increment: head family - ridge,pre_onset dec1-9,640,0.6825289726257324,0.7646816968917847,0.4810039300126989,1.0875875645658653,0.30329181727658316
1,L18_mean,diff,diff qwenvid L18_mean,head top-1 - ridge_late,straight dec1-9,5235,2.4332058429718018,1.023007869720459,0.6750827954404328,1.4456684605620294,0.38529283256079827
1,L18_mean,diff,diff qwenvid L18_mean,vision increment: head family - ridge,straight dec1-9,5235,0.8176014423370361,0.8629868626594543,0.5412296040766991,1.2127813353309134,0.33577586562710715
1,L18_mean,diff,diff qwenvid L18_mean,RFS head top-1 - ridge_late,rater frames,241,6.968788206290041,-0.04144006821234231,-0.32666591362381875,0.2694133342514672,0.29803962393764294
1,L18_mean,diff,diff qwenvid L18_grid 4x4,head top-1 - ridge_late,pre_onset dec1-9,640,3.497694730758667,1.7170379161834717,1.2280929302545476,2.3177784264883807,0.5448427481169166
1,L18_mean,diff,diff qwenvid L18_grid 4x4,vision increment: head family - ridge,pre_onset dec1-9,640,1.0248620510101318,1.1070148944854736,0.6562272097898283,1.677729618975633,0.5107512045929024
1,L18_mean,diff,diff qwenvid L18_grid 4x4,head top-1 - ridge_late,straight dec1-9,5235,2.426158905029297,1.015960693359375,0.6988121230671481,1.3830458592661792,0.3421168680995155
1,L18_mean,diff,diff qwenvid L18_grid 4x4,vision increment: head family - ridge,straight dec1-9,5235,0.8105541467666626,0.8559395670890808,0.5469199415955515,1.1867919297115104,0.31993599405797946
1,L18_mean,diff,diff qwenvid L18_grid 4x4,RFS head top-1 - ridge_late,rater frames,241,6.8864106860290875,-0.12381758847329638,-0.3998046448716181,0.15737484479357128,0.2785897448325947
