route_id,preset,seed,attempt,selected_attempt,official_status,process_status,completion_pct,full_cte_rms_m,precollision_cte_rms_m,precollision_state,full_cte_samples,precollision_cte_samples,driving_completed,capped,report_source,telemetry_source
25381,pursuit,1,1,True,Completed,finished,100,0.07908262192160696,0.07908262192160696,available,390,390,True,False,/data/runs/b2d/controller/formal-v4/pursuit-seed1/controller-report.json,/data/runs/b2d/controller/formal-v4/pursuit-seed1/attempts/25381/1/control.jsonl
25424,pursuit,1,1,True,Failed - TickRuntime,finished,47.26,0.04202837188577477,0.046871213947630684,available,4000,159,False,True,/data/runs/b2d/controller/formal-v4/pursuit-seed1/controller-report.json,/data/runs/b2d/controller/formal-v4/pursuit-seed1/attempts/25424/1/control.jsonl
26405,pursuit,1,1,True,Completed,finished,100,0.05622278776307862,0.05622278776307862,available,383,383,True,False,/data/runs/b2d/controller/formal-v4/pursuit-seed1/controller-report.json,/data/runs/b2d/controller/formal-v4/pursuit-seed1/attempts/26405/1/control.jsonl
27494,pursuit,1,1,True,Completed,finished,100,0.4496389663158912,0.2699098786323864,available,474,167,True,False,/data/runs/b2d/controller/formal-v4/pursuit-seed1/controller-report.json,/data/runs/b2d/controller/formal-v4/pursuit-seed1/attempts/27494/1/control.jsonl
28198,pursuit,1,1,True,Completed,finished,100,0.20601293872407614,0.20601293872407614,available,255,255,True,False,/data/runs/b2d/controller/formal-v4/pursuit-seed1/controller-report.json,/data/runs/b2d/controller/formal-v4/pursuit-seed1/attempts/28198/1/control.jsonl
3255,pursuit,1,1,True,Completed,finished,100,0.10172728966422208,0.07150911288852585,available,694,172,True,False,/data/runs/b2d/controller/formal-v4/pursuit-seed1/controller-report.json,/data/runs/b2d/controller/formal-v4/pursuit-seed1/attempts/3255/1/control.jsonl
3514,pursuit,1,1,True,Completed,finished,100,1.4585730486190385,3.0860559175396953,available,718,39,True,False,/data/runs/b2d/controller/formal-v4/pursuit-seed1/controller-report.json,/data/runs/b2d/controller/formal-v4/pursuit-seed1/attempts/3514/1/control.jsonl
17569,tcp,0,1,True,Completed,finished,100,0.5911721844632665,0.6173454053569731,available,334,256,True,False,/data/runs/b2d/controller/formal-v4/tcp-seed0/controller-report.json,/data/runs/b2d/controller/formal-v4/tcp-seed0/attempts/17569/1/control.jsonl
2091,tcp,0,1,False,,server_died_rc139,,,,missing_telemetry,,,,False,/data/runs/b2d/controller/formal-v4/tcp-seed0/controller-report.json,/data/runs/b2d/controller/formal-v4/tcp-seed0/attempts/2091/1/control.jsonl
2091,tcp,0,2,True,Completed,finished,100,0.6315270519538191,0.12476611694103396,available,288,112,True,False,/data/runs/b2d/controller/formal-v4/tcp-seed0/controller-report.json,/data/runs/b2d/controller/formal-v4/tcp-seed0/attempts/2091/2/control.jsonl
25378,tcp,0,1,True,Completed,finished,100,0.11152846845862689,0.11152846845862689,available,288,288,True,False,/data/runs/b2d/controller/formal-v4/tcp-seed0/controller-report.json,/data/runs/b2d/controller/formal-v4/tcp-seed0/attempts/25378/1/control.jsonl
25381,tcp,0,1,True,Completed,finished,100,0.108678565431823,0.108678565431823,available,393,393,True,False,/data/runs/b2d/controller/formal-v4/tcp-seed0/controller-report.json,/data/runs/b2d/controller/formal-v4/tcp-seed0/attempts/25381/1/control.jsonl
