model,arm,seed,metric,group,n,prior_score,plus_student,delta,lo,hi
cinque,B,2,EPDMS,ped_cyc_corridor,897,74.92996427483949,73.34980646980218,-1.5801578050373022,-2.672137628286318,-0.5612446948755359
cinque,B,2,EPDMS,no ped_cyc,11249,73.76506411165853,72.20504657094868,-1.560017540709862,-1.9020225831382496,-1.2280712046443556
cinque,B,2,EPDMS,straight,4365,80.64803982191033,77.47992078870459,-3.168119033205737,-3.789921030597085,-2.5675986034434284
lebowski,A,0,PDMS,all,12146,72.4149628176169,70.41618183613748,-1.9987809814794193,-2.2656700694716867,-1.7384892586018121
lebowski,A,0,PDMS,ped_cyc_corridor,897,74.43533021702758,72.73985866362679,-1.6954715534007836,-2.65563914167558,-0.7544699516912907
lebowski,A,0,PDMS,no ped_cyc,11249,72.25385786986408,70.23089086678394,-2.0229670030801428,-2.307049992432856,-1.7493061968454682
lebowski,A,0,PDMS,straight,4365,76.44028268882495,72.19955032139389,-4.2407323674310815,-4.792710234623019,-3.6908856795705383
lebowski,A,0,EPDMS,all,12146,72.87266915773264,70.80528648719645,-2.06738267053618,-2.354878251525292,-1.7854762339147974
lebowski,A,0,EPDMS,ped_cyc_corridor,897,76.17873702715265,74.10311233987893,-2.075624687273717,-3.2195060620284974,-1.0039407150831705
lebowski,A,0,EPDMS,no ped_cyc,11249,72.60904191274466,70.54231646409607,-2.066725448648584,-2.3703413528907284,-1.7679147437831308
lebowski,A,0,EPDMS,straight,4365,79.86521422847083,75.76411707289,-4.101097155580833,-4.7276211826457315,-3.483353048477621
lebowski,A,1,PDMS,all,12146,72.4149628176169,70.24079485587853,-2.1741679617383665,-2.4477256022029557,-1.9070866016750871
lebowski,A,1,PDMS,ped_cyc_corridor,897,74.43533021702756,72.69900049143429,-1.736329725593283,-2.7088674767867933,-0.780791558386633
lebowski,A,1,PDMS,no ped_cyc,11249,72.25385786986408,70.04477650268328,-2.209081367180818,-2.5000982081795518,-1.926270930887931
lebowski,A,1,PDMS,straight,4365,76.44028268882495,71.63234636930736,-4.807936319517595,-5.412145191498429,-4.237082415573905
lebowski,A,1,EPDMS,all,12146,72.87266915773264,70.59165605019949,-2.2810131075331546,-2.577687481768911,-1.987524864352255
lebowski,A,1,EPDMS,ped_cyc_corridor,897,76.17873702715265,73.90450166680424,-2.2742353603484,-3.3622862820522696,-1.2361743118205133
lebowski,A,1,EPDMS,no ped_cyc,11249,72.60904191274466,70.32748834479506,-2.2815535679496115,-2.586554718725857,-1.969248823808881
lebowski,A,1,EPDMS,straight,4365,79.86521422847083,75.12221067878482,-4.743003549686016,-5.4177208886412025,-4.119150367110637
lebowski,A,2,PDMS,all,12146,72.4149628176169,70.07105734477,-2.343905472846902,-2.6240391236477167,-2.0571426038191447
lebowski,A,2,PDMS,ped_cyc_corridor,897,74.43533021702756,72.19289537019296,-2.242434846834625,-3.367836589908619,-1.170255426489108
lebowski,A,2,PDMS,no ped_cyc,11249,72.25385786986408,69.9018610865422,-2.3519967833218787,-2.638973086407141,-2.0606752933260095
lebowski,A,2,PDMS,straight,4365,76.44028268882495,71.72126322282784,-4.719019465997108,-5.320672337651978,-4.140911360765817
lebowski,A,2,EPDMS,all,12146,72.87266915773264,70.46388543646867,-2.4087837212639673,-2.711828732343573,-2.1079548911669534
lebowski,A,2,EPDMS,ped_cyc_corridor,897,76.17873702715265,73.43137706532164,-2.747359961830993,-3.977241750287561,-1.565536425682648
lebowski,A,2,EPDMS,no ped_cyc,11249,72.60904191274466,70.22725640356965,-2.3817855091750157,-2.6983833744980292,-2.0702600424224995
lebowski,A,2,EPDMS,straight,4365,79.86521422847083,75.15878213105965,-4.706432097411176,-5.391423254004401,-4.0586614451305545
lebowski,B,0,PDMS,all,12146,72.4149628176169,69.68286442888004,-2.7320983887368566,-3.0811586272797666,-2.3897995932517704
lebowski,B,0,PDMS,ped_cyc_corridor,897,74.43533021702756,72.84528660218974,-1.5900436148378272,-2.9522556846603774,-0.2691996663843128
lebowski,B,0,PDMS,no ped_cyc,11249,72.25385786986408,69.430691552228,-2.823166317636086,-3.181232160677177,-2.464842856969863
lebowski,B,0,PDMS,straight,4365,76.44028268882495,71.26058056982099,-5.179702119003964,-5.830268719832576,-4.5510533913916795
lebowski,B,0,EPDMS,all,12146,72.87266915773264,69.99183907335723,-2.8808300843754213,-3.248759982071445,-2.525952107838413
lebowski,B,0,EPDMS,ped_cyc_corridor,897,76.17873702715265,73.76610861502803,-2.412628412124608,-3.885009396015985,-0.9655725240772708
lebowski,B,0,EPDMS,no ped_cyc,11249,72.60904191274466,69.69087722973745,-2.9181646830072094,-3.2936607236917985,-2.552845483664531
lebowski,B,0,EPDMS,straight,4365,79.86521422847083,74.5789368984645,-5.286277330006329,-5.995244382890745,-4.5851269644968236
lebowski,B,1,PDMS,all,12146,72.4149628176169,70.12806769469009,-2.2868951229268135,-2.630299365579546,-1.9432905214366032
lebowski,B,1,PDMS,ped_cyc_corridor,897,74.43533021702756,73.62303637930955,-0.8122938377180174,-2.2622736649558326,0.6069940671527133
lebowski,B,1,PDMS,no ped_cyc,11249,72.25385786986408,69.8493774191008,-2.404480450763269,-2.753310895730363,-2.0552688150475142
lebowski,B,1,PDMS,straight,4365,76.44028268882495,71.98886356980168,-4.4514191190232575,-5.046300194808378,-3.858713319043826
lebowski,B,1,EPDMS,all,12146,72.87266915773264,70.49648814063659,-2.3761810170960533,-2.7339355907289726,-2.0157409935824404
lebowski,B,1,EPDMS,ped_cyc_corridor,897,76.17873702715265,74.5137234973064,-1.6650135298462492,-3.227475358496458,-0.1292288236469703
lebowski,B,1,EPDMS,no ped_cyc,11249,72.60904191274466,70.1761521005501,-2.4328898121945577,-2.806713092415015,-2.0649036927300886
lebowski,B,1,EPDMS,straight,4365,79.86521422847083,75.54652544486724,-4.318688783603577,-5.021331321824546,-3.6443168767553638
lebowski,B,2,PDMS,all,12146,72.4149628176169,69.91951664853002,-2.4954461690868577,-2.845346307200385,-2.1503686842833853
lebowski,B,2,PDMS,ped_cyc_corridor,897,74.43533021702756,73.0618579699613,-1.3734722470662615,-2.767078113348794,0.02013045624465922
lebowski,B,2,PDMS,no ped_cyc,11249,72.25385786986408,69.66894502746827,-2.5849128423958163,-2.941674692543031,-2.231696373645813
lebowski,B,2,PDMS,straight,4365,76.44028268882495,71.73797755546435,-4.7023051333606025,-5.343362995079324,-4.059811031703397
lebowski,B,2,EPDMS,all,12146,72.87266915773264,70.09457052068032,-2.7780986370523215,-3.148395118674456,-2.408918480699214
lebowski,B,2,EPDMS,ped_cyc_corridor,897,76.17873702715265,73.80330686803785,-2.3754301591147846,-3.920940207324839,-0.8637767844104938
lebowski,B,2,EPDMS,no ped_cyc,11249,72.60904191274466,69.79883432158887,-2.810207591155794,-3.1897041306255085,-2.425198646295947
lebowski,B,2,EPDMS,straight,4365,79.86521422847083,74.94797760003597,-4.917236628434852,-5.646120062402649,-4.200461560582029
