scope,judge,n,delta,lo,hi,model,arm,seed,stats
Intersections,ADE dec1-9,4299,0.27693337202072144,0.22177850727923834,0.335883887908825,cinque,A,0,wod-train
Intersections,ADE pre_onset dec1-9,301,0.06268128007650375,-0.022082028381729447,0.19977876363365862,cinque,A,0,wod-train
all,RFS (rater),478,-0.10733649941475207,-0.19443648981504683,-0.026985055481795132,cinque,A,1,carla
all,ADE dec1-9,17389,0.29890745878219604,0.26659898074182775,0.33228029407221654,cinque,A,1,carla
all,ADE pre_onset dec1-9,1245,0.2699994444847107,0.15426947905471647,0.4100525056221126,cinque,A,1,carla
Pedestrians,RFS (rater),52,-0.17204046425537084,-0.5157654144030729,0.1311694700572611,cinque,A,1,carla
Pedestrians,ADE dec1-9,1637,0.25083619356155396,0.156099330651502,0.36383691203136437,cinque,A,1,carla
Pedestrians,ADE pre_onset dec1-9,83,0.2693203389644623,0.0028780323657251554,0.7733423821074921,cinque,A,1,carla
Cyclists,RFS (rater),71,-0.07493479985333668,-0.270739232710677,0.05164120444239127,cinque,A,1,carla
Cyclists,ADE dec1-9,2326,0.2057832032442093,0.14511208502712095,0.27479075042015866,cinque,A,1,carla
Cyclists,ADE pre_onset dec1-9,206,0.13278071582317352,-0.06509140999196401,0.42388791730026176,cinque,A,1,carla
Cut_ins,RFS (rater),20,-0.20527419789256413,-0.8870074580240358,0.42376548382232365,cinque,A,1,carla
Cut_ins,ADE dec1-9,724,0.2031184285879135,0.10686847848382326,0.3362627185520616,cinque,A,1,carla
Cut_ins,ADE pre_onset dec1-9,16,0.1556641161441803,-0.09366717508860997,0.48290197472823293,cinque,A,1,carla
FOD,RFS (rater),78,-0.1697352865075788,-0.39987646643354413,-0.0003635335771173954,cinque,A,1,carla
FOD,ADE dec1-9,3175,0.35114723443984985,0.28023984663869206,0.4289638350808424,cinque,A,1,carla
FOD,ADE pre_onset dec1-9,252,0.535104513168335,0.18669685732251895,0.9956983172474971,cinque,A,1,carla
Intersections,RFS (rater),116,-0.09540988609870311,-0.28506176542322403,0.07074150070372766,cinque,A,1,carla
