source,route,seed,arm,ticks,max_replay_diff
W2,27529,2,B,1239,nan
W2,27529,2,C,531,4.496403249731884e-15
W2,27529,2,D,509,0.0003964165373661621
W2,28154,0,A,643,nan
W2,28154,0,B,649,nan
W2,28154,0,C,623,3.552713678800501e-15
W2,28154,0,D,637,0.000339667772202004
W2,28154,1,A,643,nan
W2,28154,1,B,651,nan
W2,28154,1,C,669,3.425038030968608e-14
W2,28154,1,D,638,0.00033961466698350685
W2,28154,2,A,646,nan
W2,28154,2,B,653,nan
W2,28154,2,C,652,3.3306690738754696e-15
W2,28154,2,D,630,0.0003396501431679932
W2,28198,0,A,314,nan
W2,28198,0,A,302,nan
W2,28198,0,B,317,nan
W2,28198,0,C,305,2.525757381022231e-15
W2,28198,0,D,309,0.0006915429746283397
W2,28198,1,A,311,nan
W2,28198,1,B,316,nan
W2,28198,1,C,305,4.6074255521944e-15
W2,28198,1,D,308,0.0004083824134945846
W2,28198,2,A,303,nan
W2,28198,2,B,314,nan
W2,28198,2,C,304,4.468647674116255e-15
W2,28198,2,D,306,0.0004067762806463371
W2,3072,0,A,389,nan
W2,3072,0,B,405,nan
W2,3072,0,C,414,5.134781488891349e-16
W2,3072,0,D,414,0.00034133911022793157
W2,3072,1,A,391,nan
W2,3072,1,B,402,nan
W2,3072,1,C,414,2.220446049250313e-16
W2,3072,1,D,413,0.0003413861281309147
W2,3072,2,A,390,nan
W2,3072,2,B,407,nan
W2,3072,2,C,413,3.885780586188048e-16
W2,3072,2,D,413,0.00034119199149144555
W2,3255,0,A,721,nan
W2,3255,0,A,721,nan
W2,3255,0,B,717,nan
W2,3255,0,C,615,1.765254609153999e-14
W2,3255,0,D,725,0.000878748673273989
W2,3255,1,A,724,nan
W2,3255,1,B,1233,nan
W2,3255,1,C,634,1.7430501486614958e-14
W2,3255,1,D,2423,0.00048527677431103866
W2,3255,2,A,725,nan
W2,3255,2,B,3131,nan
W2,3255,2,C,639,2.5215940446798868e-14
W2,3255,2,D,561,0.0004324944826606912
W2,3514,0,A,519,nan
W2,3514,0,A,518,nan
W2,3514,0,B,2355,nan
W2,3514,0,C,515,4.0245584642661925e-16
W2,3514,0,D,520,0.0003166301741365108
W2,3514,1,A,520,nan
W2,3514,1,B,2350,nan
W2,3514,1,C,517,3.3306690738754696e-16
W2,3514,1,D,520,0.00032046768214197274
W2,3514,2,A,518,nan
W2,3514,2,B,2355,nan
W2,3514,2,C,517,3.885780586188048e-16
W2,3514,2,D,519,0.00032677888403503594
