source,route,seed,arm,n,corr,bias,mae
W2,2084,0,B,51,0.4675022575992174,0.005044121541724273,0.0706268938475928
W2,2084,0,C,97,0.629122185332071,0.009672302879800287,0.02550155999598447
W2,2084,0,D,55,0.8927413196893667,0.009213261655763813,0.021271384061930514
W2,2084,1,A,30,0.9053146599826618,0.009642890027680373,0.01920864475123942
W2,2084,1,B,48,0.3613355818251049,0.005063900661883432,0.030897220103151837
W2,2084,1,C,44,0.7830197273634554,0.016222638827501204,0.02950902825298836
W2,2084,1,D,72,0.9005878177117004,0.002886823337001764,0.012554242062232197
W2,2084,2,A,33,0.9233931698824613,0.007010597865382502,0.015740686029284745
W2,2084,2,B,45,0.9344423896907629,0.0013208441814875267,0.014249998650703439
W2,2084,2,C,14,-0.7812115853711415,0.022038016554888705,0.02573926006218761
W2,2084,2,D,69,0.9359656442769992,0.0051115659906350265,0.024156494106730587
W2,2091,0,A,89,0.7111958134744008,0.003436421423623994,0.01727453622436139
W2,2091,0,B,52,0.5680958310003495,-0.006439674504059235,0.01903785491797762
W2,2091,0,C,55,0.8558650331575371,0.0016975964426281455,0.015870926747613732
W2,2091,0,D,85,0.9515085668580259,0.0010928368805051439,0.020865857080645357
W2,2091,1,A,61,0.37804047571636445,0.01912117643783805,0.029848161031117898
W2,2091,1,B,73,0.6867980006364794,0.00367788706655105,0.01639041655204707
W2,2091,1,C,86,0.25163530866707196,0.014608208867039396,0.0184147868547916
W2,2091,1,D,92,0.6283971867505787,0.011210012609898847,0.02446014858551185
W2,2091,2,A,55,0.703412236365439,0.007874106984042685,0.019488600110994327
W2,2091,2,B,20,0.9187116477628161,0.004099241471200658,0.006703025010701105
W2,2091,2,C,66,0.9799526962951636,0.0033685829865851644,0.009141958887543685
W2,2091,2,D,55,0.5189724263501477,0.0009814664850602529,0.020094086424134457
W2,25318,0,A,76,0.9196785368624341,0.01496073422822663,0.034546076325973
W2,25318,0,B,129,0.9157466668089611,0.0009943665767276383,0.016932018184212104
W2,25318,0,C,19,0.9539530580994043,-0.0016311292495037,0.023074932749552496
W2,25318,0,D,24,0.905160959225069,-0.011575732893448836,0.0344866442731031
W2,25318,1,A,73,0.7289663231020835,0.026537741676331248,0.04659208879910474
W2,25318,1,B,107,0.9814009024197153,0.0006040754091662977,0.016262167681118135
W2,25318,1,C,70,0.9908818644508336,-0.0010222475093139526,0.015127794072663025
W2,25318,1,D,22,0.7254708057149986,-0.011324414476235192,0.05062270379366087
W2,25318,2,A,76,0.8344055960722857,0.016659787763440858,0.03687068698230204
W2,25318,2,B,121,0.973736534452014,-0.00023302106830100713,0.012054133234734574
W2,25318,2,C,75,0.9910006545466019,-0.0005489089956974727,0.014688498943139987
W2,25318,2,D,17,0.8401560606370106,-0.013932651162317912,0.031583287222903794
W2,25381,0,A,153,0.8925165612633486,0.0031497048184579734,0.022046872699305987
W2,25381,0,B,88,0.9738157761406936,0.00042032481109713745,0.008730323174550596
W2,25381,0,C,82,0.9871421696172084,0.0007051360734692686,0.007383573546173809
W2,25381,0,D,74,0.9747721489337283,-0.00030263867540852846,0.014731337365235759
W2,25381,1,A,88,0.9423600033893057,0.0011938392964893783,0.020005491397149303
W2,25381,1,B,90,0.9764181690223208,0.0010404005408514911,0.008455197993836356
W2,25381,1,C,81,0.9847079094150301,0.0007009505401777242,0.008153059513111216
W2,25381,1,D,74,0.9710868495178383,-0.0010556432582751114,0.015225903019730109
W2,25381,2,A,83,0.9299186795683171,0.0006609296483934621,0.019376584577076153
W2,25381,2,B,88,0.978308706334643,0.0003305719033356355,0.008313147126904525
W2,25381,2,C,81,0.9863347760005577,0.00020153224944979161,0.007374644364959726
W2,25381,2,D,74,0.977978258548467,0.00023858160435778089,0.01388000150508136
W2,25424,0,A,175,0.6675960157351938,-0.014379217991753391,0.04278135377670623
W2,25424,0,B,122,0.9869296854069739,0.0009922320304224636,0.009591804128631882
W2,25424,0,C,120,0.9904276930314007,6.0796849995376024e-05,0.011619769075812861
W2,25424,0,D,169,0.9871317500306526,-0.0001317944714912109,0.013821080703476245
W2,25424,1,A,85,0.7185301672137457,-0.024321808600896697,0.04231004927910579
W2,25424,1,B,118,0.9805326224620978,5.6550115143685804e-05,0.011474502780701716
W2,25424,1,C,134,0.9861350791072885,0.00034513038140983,0.01234046391364983
W2,25424,1,D,135,0.9755831971432348,0.0022133608673834257,0.01659936200545845
W2,25424,2,A,73,0.8669244922143597,-0.014664714406484933,0.03572614332878299
W2,25424,2,B,120,0.9822174229210942,0.0003266954421021978,0.01088543590551556
W2,25424,2,C,129,0.97727001133934,0.0004197665838893332,0.013479634103931963
W2,25424,2,D,124,0.9887876507387788,-0.0005379237766190788,0.014988499678404741
W2,26405,0,B,21,0.9153407506424501,0.014387249721542797,0.024467517721272355
W2,26405,1,B,111,0.6701397436437935,0.0010260178266435138,0.023418890327370254
W2,26405,2,B,25,0.7600027781949314,0.003665738029593578,0.0326789242466375
W2,27494,0,A,174,0.684301585629902,0.004181110886135564,0.022533726475961253
W2,27494,0,B,99,0.9572344978473276,-0.0007376557207474239,0.011649944166934687
W2,27494,0,C,121,0.8490092746975725,0.003719798698735962,0.014679650666221494
W2,27494,0,D,79,0.791403515489879,-0.004005423468826825,0.013730324178678756
W2,27494,1,A,85,0.7196685409886562,0.005373670161013158,0.022574114396243298
W2,27494,1,B,85,0.8421557123657576,0.011172077133030745,0.017928006240505223
W2,27494,1,C,70,0.9829986195794935,0.003637559904043052,0.007032710717719352
W2,27494,1,D,73,0.8401289616156332,-0.0021138551006163265,0.011953784634100332
W2,27494,2,A,82,0.6737944914422407,0.008805455087367412,0.016256524727659056
W2,27494,2,B,98,0.8254854175356366,0.0038376941453726575,0.016792213445956713
W2,27494,2,C,68,0.821480524898135,0.010949670729561647,0.013787946478108505
W2,27494,2,D,82,0.9721222847028335,0.005359153887360863,0.012020206242805299
W2,27529,0,A,54,0.8961249969546998,-0.004671725945666311,0.015088047073014085
W2,27529,0,B,73,0.9538828647086167,-0.001900273351659457,0.016537287901774392
W2,27529,0,C,45,0.7642604730499022,-0.0006603305058831502,0.014172795524419992
W2,27529,0,D,47,0.9521802988390077,-0.0004007645968972097,0.0100552221163581
W2,27529,1,A,51,0.6744717601831909,0.002914604701152867,0.032113030069244985
W2,27529,1,B,72,0.8549633696030707,0.0013748413414328801,0.020063326676693416
W2,27529,1,C,61,0.8160300228962599,-0.008104674532660899,0.02608212441146243
W2,27529,1,D,62,0.9593122032159151,0.0018556930683373332,0.010522836050016427
W2,27529,2,A,52,0.6753994420444506,-0.0026575849852248346,0.025305203807822082
W2,27529,2,B,61,0.7638033020028371,-0.01256483911910562,0.021626157199738396
W2,27529,2,C,57,0.9687114450259019,0.0007462348973339219,0.00698193638775969
W2,27529,2,D,34,0.872886526919879,-0.00042065188309158225,0.010761108456650643
W2,28154,0,A,75,0.7488713840607784,-0.0011804516123344012,0.004887307505209612
W2,28154,0,B,81,0.48317625036767853,-0.00016221434717744339,0.002755459012276081
W2,28154,0,C,157,0.9642711916256507,0.0027488241967000026,0.008276579356848586
W2,28154,0,D,138,0.9868291757948712,-0.0030754128863776263,0.0075607023222161035
W2,28154,1,A,78,0.5904252000058708,-0.0009721240475853027,0.005797079965256443
W2,28154,1,B,92,0.47255129802748486,-0.0002285206098301476,0.005422890923903709
W2,28154,1,C,204,0.9502182742008308,-0.002742096863093809,0.012943291259916933
W2,28154,1,D,166,0.9439863860556936,-0.00531478234256681,0.014537922059802618
W2,28154,2,A,79,0.6364249030404112,-0.0013517416416692276,0.005602725475811296
W2,28154,2,B,90,0.7034491454224105,-1.5876801387052712e-06,0.0027255195634651886
W2,28154,2,C,148,0.9205857571788575,-0.00433033448585188,0.011943597810230371
W2,28154,2,D,160,0.941596841479103,-0.0026777717895786453,0.014140195424083169
W2,28198,0,A,125,0.38688043131968675,0.005685071788169759,0.014871886465777851
W2,28198,0,B,68,0.858273882102575,0.0031302920510163385,0.010804550970491999
W2,28198,0,C,59,0.9619444992418165,0.0015198705866534279,0.004884685578307229
W2,28198,0,D,63,0.9274662767148159,0.0007389443471251026,0.005917399283205384
W2,28198,1,A,66,0.13698063125620352,-0.006946934435969936,0.01902435089673482
W2,28198,1,B,73,0.9105937584512488,0.0017558054246957146,0.009228949719725411
W2,28198,1,C,60,0.9435799802608472,0.00109667458262599,0.005402306571823643
W2,28198,1,D,58,0.8908583553424996,0.0011190212125797604,0.00595288004153932
W2,28198,2,A,61,0.7516503139131477,0.0007607516181183133,0.012813670225948853
W2,28198,2,B,70,0.8990224543128402,0.0003853624278741529,0.009368155454087873
W2,28198,2,C,58,0.9390945029067236,0.0019794555965930594,0.005334099659623641
W2,28198,2,D,56,0.9283546678079432,0.0009773941046885266,0.004706517310454483
W2,3072,0,A,8,0.7939958045178951,0.0050774379293127905,0.011870546509796673
W2,3072,0,C,7,0.9929522436390409,-0.002086139724494889,0.006080341251445342
W2,3072,0,D,13,0.9446116999174763,0.0017752092031565196,0.008583427209305713
W2,3072,1,A,9,0.8140091481235202,0.0025188312505528554,0.010819560969668403
W2,3072,1,C,5,0.9955954006833413,-0.005826280111543222,0.007241964976618717
W2,3072,1,D,13,0.946456656236216,0.0014895091461893913,0.007458955072925956
W2,3072,2,A,8,0.7879050061805635,0.005440614423595678,0.010117676169373707
W2,3072,2,C,6,0.9259636350135163,-0.003463346130697541,0.006867356632078765
W2,3072,2,D,13,0.9517268012042459,0.0014664314580040297,0.008216949704408012
W2,3255,0,C,64,0.9747783461537163,0.0011139727095121135,0.014206934576040782
W2,3255,0,D,10,0.03250496041032478,0.024923952112831122,0.04639356546003652
W2,3255,1,C,51,0.9480220579723362,0.006459986707184726,0.021194892983108164
W2,3255,1,D,94,0.9501934107772929,0.01112485120155412,0.02594625985558348
W2,3255,2,C,189,0.9774823318108127,-8.308889184555873e-06,0.015005314296397532
W2,3255,2,D,90,0.9894505331092396,0.0032578805047832012,0.015995806489029936
W2,3514,0,A,64,0.9947183783020723,-0.0007351010700870909,0.015863233598356216
W2,3514,0,B,107,0.9640109211211756,0.00048553882633387094,0.01570507472895099
W2,3514,0,C,41,0.9972846032806955,-0.0025249828993758354,0.008943374448008289
W2,3514,0,D,38,0.9970729702225116,-0.0024684415169209206,0.011154433998079381
W2,3514,1,A,33,0.9938930158317261,-0.00040800791775706305,0.016220589763600912
W2,3514,1,B,95,0.9778493892701876,-0.0009119932912612787,0.014461077921672597
W2,3514,1,C,42,0.9965843438846631,-0.0018575798626810716,0.00990080971163242
W2,3514,1,D,39,0.9974018891708758,-0.0025296120783984033,0.010796492799099834
W2,3514,2,A,30,0.9940981396294095,-0.0018947446194958336,0.014611225513945645
W2,3514,2,B,88,0.9800932375530174,0.00010149661357421684,0.013648021673818672
W2,3514,2,C,42,0.9964037670058284,-0.0011683964696922104,0.009897438067535905
W2,3514,2,D,39,0.997604742363941,-0.0019225898229445915,0.009813354266202234
