speed_lo,speed_hi,subset,arm,n,runs,gain_nom,gain_ack,gain_unscaled,rmse_nom,rmse_ack,rmse_unscaled,mean_abs_ach
8,12,active,all,2745,103,0.7639586736946071,0.8551457950731908,0.642982755624825,0.02983723111106091,0.02405012350806703,0.0409991384093923,0.05508960206961391
8,12,active,all_ex_B,2064,76,0.7402250255039736,0.8348930478684826,0.6206147172330513,0.03256447479352265,0.026268965183869442,0.044072067523324356,0.05436938796272365
8,12,active,A,740,34,0.6756344011286202,0.7887258240709624,0.5579754249333143,0.04407919089702402,0.03234713015426793,0.062096383428482116,0.06252336382041655
8,12,active,B,681,27,0.8388038091650586,0.9164008185067627,0.7149258511994132,0.019350927644710116,0.01549242437995594,0.02980964026127366,0.05727245363587162
8,12,active,C,738,20,0.8619545569065519,0.9216485554653352,0.7426295260169661,0.02204084221342673,0.02058941364999342,0.027640031156434555,0.05095936330607076
8,12,active,D,562,18,0.802677275914959,0.8551580985050363,0.6915304479880116,0.026044821088933242,0.024278514952017993,0.031610094555689854,0.047757002464577744
8,12,quasi_steady,all,1010,79,0.8401028398692539,0.9032390161457415,0.7197261219322811,0.01939420625644118,0.017296433531796288,0.026224905296297858,0.046762063855665496
8,12,quasi_steady,all_ex_B,840,54,0.8298461865778375,0.8916645243145784,0.71107374043464,0.02058973743000701,0.018454870467673804,0.02735547490385323,0.046806379493832664
8,12,quasi_steady,A,113,19,0.8451652664726517,0.9334069657483873,0.7128439074346853,0.013736403097110597,0.008775919090009566,0.024889782622546187,0.0468621331309562
8,12,quasi_steady,B,170,25,0.8910176000638249,0.9613288315755016,0.7625785119690978,0.011829491370346031,0.009722379915312974,0.01970855716163748,0.04654309246707472
8,12,quasi_steady,C,425,17,0.8611874360249073,0.92340928584175,0.7402501364375038,0.01736891355819254,0.01533589207467174,0.024520959309442026,0.05005010975517044
8,12,quasi_steady,D,297,17,0.7651035465549073,0.8149585664525459,0.6575244805476463,0.026087465825007573,0.024144239522686652,0.031649002356867184,0.042842239089255746
