examinee,vs,scope,n,delta,lo,hi
CARLA student A s2 [cinque],ridge_late op-cinque temporal,oncoming,657,-0.045662100456621,-0.08360078462883747,-0.011816838995568686
CARLA student A s2 [cinque],ridge_late op-cinque temporal,static,959,-0.1032325338894682,-0.15970739549839227,-0.05301455301455302
CARLA student B s0 [cinque],ridge_late op-cinque temporal,pooled,1832,-0.09224890829694324,-0.13615707729746782,-0.052345787689097575
CARLA student B s0 [cinque],ridge_late op-cinque temporal,cutin,216,-0.009259259259259259,-0.04867526440751133,0.033179304897314355
CARLA student B s0 [cinque],ridge_late op-cinque temporal,oncoming,657,-0.045662100456621,-0.08231099572981367,-0.011936341854790868
CARLA student B s0 [cinque],ridge_late op-cinque temporal,static,959,-0.14285714285714285,-0.20703523871333496,-0.08463869955486533
CARLA student B s1 [cinque],ridge_late op-cinque temporal,pooled,1832,-0.06713973799126638,-0.10530979205222628,-0.03256494499392399
CARLA student B s1 [cinque],ridge_late op-cinque temporal,cutin,216,-0.009259259259259259,-0.04523184102329831,0.025540168745414482
CARLA student B s1 [cinque],ridge_late op-cinque temporal,oncoming,657,-0.0258751902587519,-0.05936259642980724,0.004553047064138351
CARLA student B s1 [cinque],ridge_late op-cinque temporal,static,959,-0.10844629822732013,-0.1640977679870869,-0.057589532141244175
CARLA student B s2 [cinque],ridge_late op-cinque temporal,pooled,1832,-0.07368995633187773,-0.11148579370738866,-0.040104581178997165
CARLA student B s2 [cinque],ridge_late op-cinque temporal,cutin,216,-0.023148148148148147,-0.06542056074766354,0.01843746650948449
CARLA student B s2 [cinque],ridge_late op-cinque temporal,oncoming,657,-0.0243531202435312,-0.05835992430960376,0.006306543235850894
CARLA student B s2 [cinque],ridge_late op-cinque temporal,static,959,-0.11887382690302398,-0.17599329335656,-0.06827069696103737
G2 M-C pair s0 [cinque],ridge_late op-cinque temporal,pooled,1832,-0.07150655021834061,-0.10287650609822123,-0.04168810466138963
G2 M-C pair s0 [cinque],ridge_late op-cinque temporal,cutin,216,-0.004629629629629629,-0.0740913811007269,0.0819122447271509
G2 M-C pair s0 [cinque],ridge_late op-cinque temporal,oncoming,657,-0.030441400304414,-0.07047851074462769,0.009050115514483738
G2 M-C pair s0 [cinque],ridge_late op-cinque temporal,static,959,-0.11470281543274244,-0.15384816753926703,-0.08024691358024691
G2 M-C hard s0 [cinque],ridge_late op-cinque temporal,pooled,1832,-0.03657205240174673,-0.0689497252093466,-0.004136334548412286
G2 M-C hard s0 [cinque],ridge_late op-cinque temporal,cutin,216,0.046296296296296294,-0.028846153846153848,0.11555555555555555
G2 M-C hard s0 [cinque],ridge_late op-cinque temporal,oncoming,657,-0.0228310502283105,-0.060800771513353113,0.015552099533437015
G2 M-C hard s0 [cinque],ridge_late op-cinque temporal,static,959,-0.06465067778936393,-0.10345006068394375,-0.025475926932836217
G2 M-C uniform s0 [cinque],ridge_late op-cinque temporal,pooled,1832,-0.009825327510917031,-0.040134307833429625,0.019678944845728536
G2 M-C uniform s0 [cinque],ridge_late op-cinque temporal,cutin,216,0.06018518518518518,0.009660674470457079,0.1087033793529775
G2 M-C uniform s0 [cinque],ridge_late op-cinque temporal,oncoming,657,0.0,-0.03610400045916318,0.03653668375493735
G2 M-C uniform s0 [cinque],ridge_late op-cinque temporal,static,959,-0.03232533889468196,-0.069261161520945,0.0010482730828180326
G2 student A s0 [cinque],ridge_late op-cinque temporal,pooled,1832,-0.05021834061135371,-0.07051953862085884,-0.03116345552697198
G2 student A s0 [cinque],ridge_late op-cinque temporal,cutin,216,-0.046296296296296294,-0.09569377990430622,0.0
G2 student A s0 [cinque],ridge_late op-cinque temporal,oncoming,657,-0.030441400304414,-0.06270708758556244,-0.0029194955322517247
G2 student A s0 [cinque],ridge_late op-cinque temporal,static,959,-0.06465067778936393,-0.09100759144237405,-0.04004004106776181
G2 student B s0 [cinque],ridge_late op-cinque temporal,pooled,1832,-0.03820960698689956,-0.05862456346706548,-0.018404819778661315
G2 student B s0 [cinque],ridge_late op-cinque temporal,cutin,216,-0.046296296296296294,-0.10052298939632082,0.00980512894813097
G2 student B s0 [cinque],ridge_late op-cinque temporal,oncoming,657,-0.0136986301369863,-0.04740230519103472,0.018022113022112998
G2 student B s0 [cinque],ridge_late op-cinque temporal,static,959,-0.053180396246089674,-0.07708735647181629,-0.029287937811238927
G2 M-C pair s0 x g2 [cinque],ridge_late op-cinque temporal,pooled,1832,0.018013100436681223,0.003416297935103245,0.03386368356442989
G2 M-C pair s0 x g2 [cinque],ridge_late op-cinque temporal,cutin,216,0.037037037037037035,-0.009050802139037434,0.09735594886922315
G2 M-C pair s0 x g2 [cinque],ridge_late op-cinque temporal,oncoming,657,0.045662100456621,0.023564064801178203,0.07121470249243624
G2 M-C pair s0 x g2 [cinque],ridge_late op-cinque temporal,static,959,-0.005213764337851929,-0.02130303465425697,0.009279794242203867
G2 student A s0 x g2 [cinque],ridge_late op-cinque temporal,pooled,1832,-0.001091703056768559,-0.011568126959465084,0.009398238977050407
G2 student A s0 x g2 [cinque],ridge_late op-cinque temporal,cutin,216,-0.018518518518518517,-0.053150879917184264,0.013641076665270188
G2 student A s0 x g2 [cinque],ridge_late op-cinque temporal,oncoming,657,0.0167427701674277,0.0,0.03582554517133956
G2 student A s0 x g2 [cinque],ridge_late op-cinque temporal,static,959,-0.009384775808133473,-0.021807988174312194,0.002103104765067242
G2 M-C pair s1 [cinque],ridge_late op-cinque temporal,pooled,1832,-0.056768558951965066,-0.08629181577554261,-0.027813080288295145
G2 M-C pair s1 [cinque],ridge_late op-cinque temporal,cutin,216,0.0,-0.06946066978193147,0.08333333333333333
G2 M-C pair s1 [cinque],ridge_late op-cinque temporal,oncoming,657,-0.0213089802130898,-0.060833120224337636,0.01818881118881115
G2 M-C pair s1 [cinque],ridge_late op-cinque temporal,static,959,-0.09384775808133472,-0.12409379678397729,-0.06510494504660248
G2 M-C hard s1 [cinque],ridge_late op-cinque temporal,pooled,1832,-0.07641921397379912,-0.11346152461670402,-0.040631055835124004
G2 M-C hard s1 [cinque],ridge_late op-cinque temporal,cutin,216,0.032407407407407406,-0.05429987212276215,0.12108330793678433
G2 M-C hard s1 [cinque],ridge_late op-cinque temporal,oncoming,657,-0.0532724505327245,-0.09284895223621066,-0.013392359637019744
G2 M-C hard s1 [cinque],ridge_late op-cinque temporal,static,959,-0.11678832116788321,-0.16142639544025159,-0.07321984452809731
G2 M-C uniform s1 [cinque],ridge_late op-cinque temporal,pooled,1832,-0.03275109170305677,-0.062165212943251696,-0.00340121811534586
G2 M-C uniform s1 [cinque],ridge_late op-cinque temporal,cutin,216,0.06481481481481481,0.009846295945433877,0.13023255813953488
G2 M-C uniform s1 [cinque],ridge_late op-cinque temporal,oncoming,657,-0.0182648401826484,-0.05514385419193845,0.016845975159481014
G2 M-C uniform s1 [cinque],ridge_late op-cinque temporal,static,959,-0.06465067778936393,-0.09979256661041108,-0.03159656107552942
G2 student A s1 [cinque],ridge_late op-cinque temporal,pooled,1832,-0.02237991266375546,-0.04978013921147797,0.0017612428502455433
G2 student A s1 [cinque],ridge_late op-cinque temporal,cutin,216,-0.013888888888888888,-0.0703535282044023,0.04673445658373916
G2 student A s1 [cinque],ridge_late op-cinque temporal,oncoming,657,-0.0030441400304414,-0.03615559800176315,0.0318512602920615
G2 student A s1 [cinque],ridge_late op-cinque temporal,static,959,-0.03753910323253389,-0.07275397643656524,-0.008324445473248804
G2 student B s1 [cinque],ridge_late op-cinque temporal,pooled,1832,-0.048034934497816595,-0.07553887500955295,-0.02238974565987604
G2 student B s1 [cinque],ridge_late op-cinque temporal,cutin,216,-0.037037037037037035,-0.10001196172248804,0.037237770928614015
G2 student B s1 [cinque],ridge_late op-cinque temporal,oncoming,657,-0.0121765601217656,-0.0447777926510943,0.0186349915829802
G2 student B s1 [cinque],ridge_late op-cinque temporal,static,959,-0.07507820646506778,-0.11333288219345324,-0.041092034604113814
G2 M-C pair s1 x g2 [cinque],ridge_late op-cinque temporal,pooled,1832,0.01910480349344978,0.004832802680180735,0.034394872493149126
G2 M-C pair s1 x g2 [cinque],ridge_late op-cinque temporal,cutin,216,0.037037037037037035,-0.0044444444444444444,0.10141202883138352
G2 M-C pair s1 x g2 [cinque],ridge_late op-cinque temporal,oncoming,657,0.0426179604261796,0.022386393923240936,0.06656833081190114
G2 M-C pair s1 x g2 [cinque],ridge_late op-cinque temporal,static,959,-0.0010427528675703858,-0.01747399306056925,0.013713080168776372
G2 student A s1 x g2 [cinque],ridge_late op-cinque temporal,pooled,1832,0.01910480349344978,0.006951039209045658,0.03107881803071516
G2 student A s1 x g2 [cinque],ridge_late op-cinque temporal,cutin,216,-0.004629629629629629,-0.03271028037383177,0.020418792517006745
G2 student A s1 x g2 [cinque],ridge_late op-cinque temporal,oncoming,657,0.0365296803652968,0.02105184131499921,0.052809136053792276
G2 student A s1 x g2 [cinque],ridge_late op-cinque temporal,static,959,0.01251303441084463,-0.0031057511404345246,0.027513227513227514
G2 M-C pair s2 [cinque],ridge_late op-cinque temporal,pooled,1832,-0.07587336244541484,-0.10763380770499222,-0.04697438941422035
G2 M-C pair s2 [cinque],ridge_late op-cinque temporal,cutin,216,-0.013888888888888888,-0.08333333333333333,0.07107505438723709
G2 M-C pair s2 [cinque],ridge_late op-cinque temporal,oncoming,657,-0.0319634703196347,-0.07469651466655862,0.009386394772284062
G2 M-C pair s2 [cinque],ridge_late op-cinque temporal,static,959,-0.11991657977059438,-0.16122837931492104,-0.08636836628511967
G2 M-C hard s2 [cinque],ridge_late op-cinque temporal,pooled,1832,-0.06441048034934498,-0.0983623265894574,-0.033260215880552335
G2 M-C hard s2 [cinque],ridge_late op-cinque temporal,cutin,216,0.023148148148148147,-0.043494245524296676,0.10186111111111106
G2 M-C hard s2 [cinque],ridge_late op-cinque temporal,oncoming,657,-0.0441400304414003,-0.0812558798445523,-0.007483089376801962
G2 M-C hard s2 [cinque],ridge_late op-cinque temporal,static,959,-0.09801876955161627,-0.14194948427161105,-0.057254485659756875
G2 M-C uniform s2 [cinque],ridge_late op-cinque temporal,pooled,1832,-0.013646288209606987,-0.04150992851280959,0.012770224390860079
G2 M-C uniform s2 [cinque],ridge_late op-cinque temporal,cutin,216,0.06481481481481481,0.013330396475770926,0.135268337446997
G2 M-C uniform s2 [cinque],ridge_late op-cinque temporal,oncoming,657,-0.0045662100456621,-0.04007972991215861,0.03067484662576687
G2 M-C uniform s2 [cinque],ridge_late op-cinque temporal,static,959,-0.03753910323253389,-0.07187853652263373,-0.006275659792060247
G2 student A s2 [cinque],ridge_late op-cinque temporal,pooled,1832,-0.03820960698689956,-0.06425838700333457,-0.013788991364624354
G2 student A s2 [cinque],ridge_late op-cinque temporal,cutin,216,-0.037037037037037035,-0.10145933977455718,0.03827751196172249
G2 student A s2 [cinque],ridge_late op-cinque temporal,oncoming,657,-0.0258751902587519,-0.06385301845680594,0.009333087944928983
G2 student A s2 [cinque],ridge_late op-cinque temporal,static,959,-0.04692387904066736,-0.08169596690796277,-0.016156511927788553
G2 student B s2 [cinque],ridge_late op-cinque temporal,pooled,1832,-0.015829694323144104,-0.03671629016942376,0.00521523042272724
G2 student B s2 [cinque],ridge_late op-cinque temporal,cutin,216,-0.009259259259259259,-0.06122689641894494,0.060095318894101156
G2 student B s2 [cinque],ridge_late op-cinque temporal,oncoming,657,0.0060882800608828,-0.02608762439056969,0.03653058779972559
G2 student B s2 [cinque],ridge_late op-cinque temporal,static,959,-0.03232533889468196,-0.06061401833460657,-0.0052347848826756645
G2 M-C pair s2 x g2 [cinque],ridge_late op-cinque temporal,pooled,1832,0.0212882096069869,0.0058777442600972014,0.037138322037685245
G2 M-C pair s2 x g2 [cinque],ridge_late op-cinque temporal,cutin,216,0.037037037037037035,-0.004609366627371128,0.09217452648247017
G2 M-C pair s2 x g2 [cinque],ridge_late op-cinque temporal,oncoming,657,0.0426179604261796,0.021396589367106224,0.06716476212686567
G2 M-C pair s2 x g2 [cinque],ridge_late op-cinque temporal,static,959,0.0031282586027111575,-0.012579608356645438,0.01763531258213656
G2 student A s2 x g2 [cinque],ridge_late op-cinque temporal,pooled,1832,0.015829694323144104,0.003274400272216866,0.028651652444866265
G2 student A s2 x g2 [cinque],ridge_late op-cinque temporal,cutin,216,-0.009259259259259259,-0.04000446428571429,0.024390243902439025
G2 student A s2 x g2 [cinque],ridge_late op-cinque temporal,oncoming,657,0.0319634703196347,0.012212810949609026,0.05312916340125389
G2 student A s2 x g2 [cinque],ridge_late op-cinque temporal,static,959,0.010427528675703858,-0.005097361641923257,0.02508034147591726
G1c g3 x M-C [cinque],ridge_late op-cinque temporal,pooled,1832,-0.015829694323144104,-0.028482888203841115,-0.0057769361492628684
G1c g3 x M-C [cinque],ridge_late op-cinque temporal,cutin,216,-0.023148148148148147,-0.045662100456621,0.0
G1c g3 x M-C [cinque],ridge_late op-cinque temporal,oncoming,657,-0.0015220700152207,-0.00902323682509441,0.004629629629629629
G1c g3 x M-C [cinque],ridge_late op-cinque temporal,static,959,-0.023983315954118872,-0.04479166666666667,-0.008281573498964804
G1c g3 x const [cinque],ridge_late op-cinque temporal,pooled,1832,-0.014737991266375546,-0.025471359327003115,-0.0052789541503902694
G1c g3 x const [cinque],ridge_late op-cinque temporal,cutin,216,-0.037037037037037035,-0.07658523908523908,-0.004523872329200745
G1c g3 x const [cinque],ridge_late op-cinque temporal,oncoming,657,-0.0091324200913242,-0.01637026918976546,-0.0030393983700089024
G1c g3 x const [cinque],ridge_late op-cinque temporal,static,959,-0.013555787278415016,-0.028970345835665857,0.0
G1c g3 x const2d [cinque],ridge_late op-cinque temporal,pooled,1832,-0.015283842794759825,-0.02589920523060058,-0.0058260993990270045
G1c g3 x const2d [cinque],ridge_late op-cinque temporal,cutin,216,-0.037037037037037035,-0.07658523908523908,-0.004523872329200745
G1c g3 x const2d [cinque],ridge_late op-cinque temporal,oncoming,657,-0.0091324200913242,-0.01637026918976546,-0.0030393983700089024
G1c g3 x const2d [cinque],ridge_late op-cinque temporal,static,959,-0.014598540145985401,-0.03002125929677712,-0.0010459705103903706
CARLA M-C hard [cinque],CARLA M-C pair [cinque],pooled,1832,0.0584061135371179,0.023580523267689685,0.09130329886494933
CARLA M-C hard [cinque],CARLA M-C pair [cinque],cutin,216,0.1712962962962963,0.08172369909502263,0.26637046982703927
CARLA M-C hard [cinque],CARLA M-C pair [cinque],oncoming,657,0.0989345509893455,0.06249525075987842,0.13533834586466165
CARLA M-C hard [cinque],CARLA M-C pair [cinque],static,959,0.005213764337851929,-0.040642352495078984,0.047620281273131004
CARLA M-C uniform [cinque],CARLA M-C pair [cinque],pooled,1832,0.11026200873362445,0.08502498726763433,0.13537864599463587
CARLA M-C uniform [cinque],CARLA M-C pair [cinque],cutin,216,0.2037037037037037,0.12380834512022632,0.2901821716589862
CARLA M-C uniform [cinque],CARLA M-C pair [cinque],oncoming,657,0.1080669710806697,0.07373034348425103,0.14285714285714285
CARLA M-C uniform [cinque],CARLA M-C pair [cinque],static,959,0.09071949947862357,0.06269584422027984,0.12178328173374608
CARLA student A s0 [cinque],CARLA M-C pair [cinque],pooled,1832,0.01037117903930131,-0.04523355281491095,0.061237838999962046
CARLA student A s0 [cinque],CARLA M-C pair [cinque],cutin,216,0.18518518518518517,0.0985898147505724,0.27803275492298696
CARLA student A s0 [cinque],CARLA M-C pair [cinque],oncoming,657,0.0289193302891933,-0.024846655443973607,0.08037484640224844
CARLA student A s0 [cinque],CARLA M-C pair [cinque],static,959,-0.04171011470281543,-0.10941472584956824,0.022687514796719932
CARLA student A s1 [cinque],CARLA M-C pair [cinque],pooled,1832,0.03384279475982533,-0.012932286568617958,0.07838933027166416
CARLA student A s1 [cinque],CARLA M-C pair [cinque],cutin,216,0.19444444444444445,0.11061840537780804,0.28396085659118825
CARLA student A s1 [cinque],CARLA M-C pair [cinque],oncoming,657,0.0441400304414003,-0.00625,0.09351656419197943
CARLA student A s1 [cinque],CARLA M-C pair [cinque],static,959,-0.009384775808133473,-0.06459078913491247,0.04433158605958893
CARLA student A s2 [cinque],CARLA M-C pair [cinque],pooled,1832,0.04148471615720524,-0.006948076713522937,0.08671151602361425
CARLA student A s2 [cinque],CARLA M-C pair [cinque],cutin,216,0.19907407407407407,0.11426699937616967,0.28922828477185264
CARLA student A s2 [cinque],CARLA M-C pair [cinque],oncoming,657,0.0563165905631659,0.003067250145400649,0.10452867887097879
CARLA student A s2 [cinque],CARLA M-C pair [cinque],static,959,-0.004171011470281543,-0.06263330896502789,0.05357234904270986
CARLA student B s0 [cinque],CARLA M-C pair [cinque],pooled,1832,0.02019650655021834,-0.031129122073124356,0.06885477288118406
CARLA student B s0 [cinque],CARLA M-C pair [cinque],cutin,216,0.19444444444444445,0.10958741030658839,0.2850634178905206
CARLA student B s0 [cinque],CARLA M-C pair [cinque],oncoming,657,0.0563165905631659,0.006209983826048674,0.10252365930599369
CARLA student B s0 [cinque],CARLA M-C pair [cinque],static,959,-0.043795620437956206,-0.10790188592612748,0.017674755907740185
CARLA student B s1 [cinque],CARLA M-C pair [cinque],pooled,1832,0.0453056768558952,-0.0011622409017098092,0.08759667341107528
CARLA student B s1 [cinque],CARLA M-C pair [cinque],cutin,216,0.19444444444444445,0.1121827970939284,0.28445950155763233
CARLA student B s1 [cinque],CARLA M-C pair [cinque],oncoming,657,0.076103500761035,0.031190348134440608,0.11872334946956431
CARLA student B s1 [cinque],CARLA M-C pair [cinque],static,959,-0.009384775808133473,-0.06751411673401664,0.04718104222821198
CARLA student B s2 [cinque],CARLA M-C pair [cinque],pooled,1832,0.03875545851528384,-0.00774454782060563,0.07991419934054178
CARLA student B s2 [cinque],CARLA M-C pair [cinque],cutin,216,0.18055555555555555,0.0979381443298969,0.2702912912912912
CARLA student B s2 [cinque],CARLA M-C pair [cinque],oncoming,657,0.0776255707762557,0.033843558282208586,0.11764705882352941
CARLA student B s2 [cinque],CARLA M-C pair [cinque],static,959,-0.01981230448383733,-0.07853496634255797,0.036309887478896886
G2 M-C pair s0 [cinque],CARLA M-C pair [cinque],pooled,1832,0.04093886462882096,0.003407363715039891,0.07589840944073883
G2 M-C pair s0 [cinque],CARLA M-C pair [cinque],cutin,216,0.19907407407407407,0.09182392134936167,0.3150017123287671
G2 M-C pair s0 [cinque],CARLA M-C pair [cinque],oncoming,657,0.0715372907153729,0.024241507357997523,0.11941791044776111
G2 M-C pair s0 [cinque],CARLA M-C pair [cinque],static,959,-0.01564129301355579,-0.05555555555555555,0.021957500094151313
G2 M-C hard s0 [cinque],CARLA M-C pair [cinque],pooled,1832,0.07587336244541484,0.04381769087754861,0.10829559830774775
G2 M-C hard s0 [cinque],CARLA M-C pair [cinque],cutin,216,0.25,0.14553777208706786,0.3524426100311198
G2 M-C hard s0 [cinque],CARLA M-C pair [cinque],oncoming,657,0.0791476407914764,0.03749417701863354,0.12423358803864663
G2 M-C hard s0 [cinque],CARLA M-C pair [cinque],static,959,0.03441084462982273,0.005285412262156448,0.06442396065548119
G2 M-C uniform s0 [cinque],CARLA M-C pair [cinque],pooled,1832,0.10262008733624454,0.07450198059188042,0.13129494241908995
G2 M-C uniform s0 [cinque],CARLA M-C pair [cinque],cutin,216,0.2638888888888889,0.18015165820842677,0.35426281074491706
G2 M-C uniform s0 [cinque],CARLA M-C pair [cinque],oncoming,657,0.1019786910197869,0.06220598321146026,0.14195583596214512
G2 M-C uniform s0 [cinque],CARLA M-C pair [cinque],static,959,0.0667361835245047,0.04008016443987667,0.09378627505445826
G2 student A s0 [cinque],CARLA M-C pair [cinque],pooled,1832,0.06222707423580786,0.03050265988610532,0.09251034906557382
G2 student A s0 [cinque],CARLA M-C pair [cinque],cutin,216,0.1574074074074074,0.06815996503496503,0.2513641555474792
G2 student A s0 [cinque],CARLA M-C pair [cinque],oncoming,657,0.0715372907153729,0.02935955207317483,0.11475838022999753
G2 student A s0 [cinque],CARLA M-C pair [cinque],static,959,0.03441084462982273,0.0021404260114955484,0.06540474057877473
G2 student B s0 [cinque],CARLA M-C pair [cinque],pooled,1832,0.07423580786026202,0.042914899257688224,0.10632849836301544
G2 student B s0 [cinque],CARLA M-C pair [cinque],cutin,216,0.1574074074074074,0.05940384292666555,0.26000224215246637
G2 student B s0 [cinque],CARLA M-C pair [cinque],oncoming,657,0.0882800608828006,0.04320634579211561,0.13582416467511382
G2 student B s0 [cinque],CARLA M-C pair [cinque],static,959,0.045881126173096975,0.01567608691723072,0.07572653924071061
G2 M-C pair s0 x g2 [cinque],CARLA M-C pair [cinque],pooled,1832,0.1304585152838428,0.10456443964399789,0.15618612210085717
G2 M-C pair s0 x g2 [cinque],CARLA M-C pair [cinque],cutin,216,0.24074074074074073,0.15022887323943662,0.3398082165574633
G2 M-C pair s0 x g2 [cinque],CARLA M-C pair [cinque],oncoming,657,0.1476407914764079,0.11142473596640301,0.185360797581741
G2 M-C pair s0 x g2 [cinque],CARLA M-C pair [cinque],static,959,0.09384775808133472,0.06596686126749764,0.12108640542538156
G2 student A s0 x g2 [cinque],CARLA M-C pair [cinque],pooled,1832,0.11135371179039301,0.08531760491366143,0.1370928717279973
G2 student A s0 x g2 [cinque],CARLA M-C pair [cinque],cutin,216,0.18518518518518517,0.0956877990430622,0.2786108175934487
G2 student A s0 x g2 [cinque],CARLA M-C pair [cinque],oncoming,657,0.1187214611872146,0.08410538237975837,0.15595135437981095
G2 student A s0 x g2 [cinque],CARLA M-C pair [cinque],static,959,0.08967674661105318,0.060922771522040085,0.11808182338479947
G2 M-C pair s1 [cinque],CARLA M-C pair [cinque],pooled,1832,0.055676855895196505,0.0214054374142674,0.08847281735404386
G2 M-C pair s1 [cinque],CARLA M-C pair [cinque],cutin,216,0.2037037037037037,0.09818948412698413,0.3175458743468222
G2 M-C pair s1 [cinque],CARLA M-C pair [cinque],oncoming,657,0.0806697108066971,0.03586515243983336,0.12652686490338927
G2 M-C pair s1 [cinque],CARLA M-C pair [cinque],static,959,0.005213764337851929,-0.02815727552151292,0.038894871207057806
G2 M-C hard s1 [cinque],CARLA M-C pair [cinque],pooled,1832,0.036026200873362446,-0.0017099442200423159,0.07431451281675323
G2 M-C hard s1 [cinque],CARLA M-C pair [cinque],cutin,216,0.2361111111111111,0.12121212121212122,0.35215265391475464
G2 M-C hard s1 [cinque],CARLA M-C pair [cinque],oncoming,657,0.0487062404870624,0.004391906312828415,0.09595998686555961
G2 M-C hard s1 [cinque],CARLA M-C pair [cinque],static,959,-0.017726798748696558,-0.0531929055355403,0.018076252490360368
G2 M-C uniform s1 [cinque],CARLA M-C pair [cinque],pooled,1832,0.07969432314410481,0.051917676986630384,0.10848156920582822
G2 M-C uniform s1 [cinque],CARLA M-C pair [cinque],cutin,216,0.26851851851851855,0.18501494966650744,0.36000473933649285
G2 M-C uniform s1 [cinque],CARLA M-C pair [cinque],oncoming,657,0.0837138508371385,0.0444411619891679,0.12482574866612177
G2 M-C uniform s1 [cinque],CARLA M-C pair [cinque],static,959,0.03441084462982273,0.009374027489626556,0.060104200826392076
G2 student A s1 [cinque],CARLA M-C pair [cinque],pooled,1832,0.09006550218340612,0.05676456997288726,0.12057739169568482
G2 student A s1 [cinque],CARLA M-C pair [cinque],cutin,216,0.18981481481481483,0.09333333333333334,0.29130434782608694
G2 student A s1 [cinque],CARLA M-C pair [cinque],oncoming,657,0.0989345509893455,0.05987800184384594,0.14046279363356418
G2 student A s1 [cinque],CARLA M-C pair [cinque],static,959,0.061522419186652764,0.024813936838755865,0.09822834253868734
G2 student B s1 [cinque],CARLA M-C pair [cinque],pooled,1832,0.06441048034934498,0.032670817239593405,0.09563811033300446
G2 student B s1 [cinque],CARLA M-C pair [cinque],cutin,216,0.16666666666666666,0.06828439497987214,0.2760453869047619
G2 student B s1 [cinque],CARLA M-C pair [cinque],oncoming,657,0.0898021308980213,0.05495815662991235,0.12441032370953631
G2 student B s1 [cinque],CARLA M-C pair [cinque],static,959,0.023983315954118872,-0.01772726134782883,0.06384282702714443
G2 M-C pair s1 x g2 [cinque],CARLA M-C pair [cinque],pooled,1832,0.13155021834061134,0.10509283660118779,0.15767104239722246
G2 M-C pair s1 x g2 [cinque],CARLA M-C pair [cinque],cutin,216,0.24074074074074073,0.15310325734940766,0.33807261041980013
G2 M-C pair s1 x g2 [cinque],CARLA M-C pair [cinque],oncoming,657,0.1445966514459665,0.10977397762699431,0.1813806072175441
G2 M-C pair s1 x g2 [cinque],CARLA M-C pair [cinque],static,959,0.09801876955161627,0.07098749323436171,0.125
G2 student A s1 x g2 [cinque],CARLA M-C pair [cinque],pooled,1832,0.13155021834061134,0.10608052582570454,0.15742416145384855
G2 student A s1 x g2 [cinque],CARLA M-C pair [cinque],cutin,216,0.19907407407407407,0.11615936147186147,0.29108437029946665
G2 student A s1 x g2 [cinque],CARLA M-C pair [cinque],oncoming,657,0.1385083713850837,0.10447064831364174,0.1716077374438261
