examinee,scope,tau_model,n_reactive,routes_reactive,pairs_reactive,flip_rate,flip_lo,flip_hi,any_direction_rate,wrong_direction_rate,n_nonreactive,false_flip_nonreactive,false_flip_null_insample,false_flip_null_oos,n_null,flip_rate_family_equal
CARLA student A s1 [cinque],cutin,0.6749594569206235,216,27,27,0.6574074074074074,0.5522259392691714,0.7564252336448597,0.7962962962962963,0.1388888888888889,398,0.15829145728643215,,,,
CARLA student A s1 [cinque],oncoming,0.6749594569206235,657,60,60,0.5494672754946728,0.4843207427712357,0.615969556637344,0.6681887366818874,0.1187214611872146,558,0.05197132616487455,,,,
CARLA student A s1 [cinque],static,0.6749594569206235,959,65,65,0.662148070907195,0.5950493619702777,0.7256740655057439,0.8540145985401459,0.19186652763295098,771,0.25421530479896237,,,,
CARLA student A s2 [cinque],pooled,0.6312647461891172,1832,65,65,0.62882096069869,0.566240795645319,0.6871126637226815,0.7745633187772926,0.1457423580786026,1727,0.17544875506658947,0.050505050505050504,0.04924242424242424,792.0,0.6303475692995075
CARLA student A s2 [cinque],cutin,0.6312647461891172,216,27,27,0.6620370370370371,0.5610929951690822,0.7598088235294117,0.7962962962962963,0.13425925925925927,398,0.15829145728643215,,,,
CARLA student A s2 [cinque],oncoming,0.6312647461891172,657,60,60,0.5616438356164384,0.49552976656963726,0.6290881846397135,0.6681887366818874,0.106544901065449,558,0.05913978494623656,,,,
CARLA student A s2 [cinque],static,0.6312647461891172,959,65,65,0.6673618352450469,0.5983027198629531,0.7352711673681331,0.8425443169968717,0.17518248175182483,771,0.26848249027237353,,,,
CARLA student B s0 [cinque],pooled,0.622276484966278,1832,65,65,0.607532751091703,0.540508255695969,0.6695052831943926,0.7778384279475983,0.1703056768558952,1727,0.1685002895193978,0.050505050505050504,0.05176767676767677,792.0,0.6155961564337393
CARLA student B s0 [cinque],cutin,0.622276484966278,216,27,27,0.6574074074074074,0.5520283975659229,0.7561005945880355,0.8101851851851852,0.1527777777777778,398,0.16080402010050251,,,,
CARLA student B s0 [cinque],oncoming,0.622276484966278,657,60,60,0.5616438356164384,0.4936206359848666,0.6298003072196621,0.6818873668188736,0.1202435312024353,558,0.05555555555555555,,,,
CARLA student B s0 [cinque],static,0.622276484966278,959,65,65,0.6277372262773723,0.55118026084867,0.7014235957540911,0.8362877997914494,0.20855057351407716,771,0.25421530479896237,,,,
CARLA student B s1 [cinque],pooled,0.6243110060691832,1832,65,65,0.63264192139738,0.572068061569311,0.6905686550903908,0.7816593886462883,0.1490174672489083,1727,0.1673422119281992,0.050505050505050504,0.04797979797979798,792.0,0.6336620747096365
