scope,n,activation,lo,hi,delta_mag_median_m,model,head,seed,stats,gate,tau
all,19663,0.08543965824136704,0.07342683711106131,0.09796688287521672,1.6798988580703735,cinque,M-C pair,2,i3,g2,1.665218305587768
Pedestrians,1831,0.09120699071545603,0.059870402753420295,0.12691529763666445,1.996703863143921,cinque,M-C pair,2,i3,g2,1.665218305587768
Cyclists,2830,0.1618374558303887,0.12124282359564711,0.20627018297338412,2.2180750370025635,cinque,M-C pair,2,i3,g2,1.665218305587768
Cut_ins,885,0.1310734463276836,0.07166311448255872,0.19700503718835943,2.5611703395843506,cinque,M-C pair,2,i3,g2,1.665218305587768
FOD,3561,0.06711597865768043,0.04027012004323832,0.09764773950324666,1.194823980331421,cinque,M-C pair,2,i3,g2,1.665218305587768
Intersections,4772,0.05071248952221291,0.035120095190658035,0.06808004529031725,1.3071085214614868,cinque,M-C pair,2,i3,g2,1.665218305587768
straight_yaw,11597,0.8869535224627059,0.8753597387668545,0.8981304007240066,12.576452255249023,cinque,M-C hard,2,i3,none,2.297808670997618
pre_onset,1458,0.8834019204389575,0.8435459793283597,0.918557239038463,13.67906379699707,cinque,M-C hard,2,i3,none,2.297808670997618
all,19663,0.8826221837969791,0.8730604635091127,0.8918322102958424,12.905383110046387,cinque,M-C hard,2,i3,none,2.297808670997618
Pedestrians,1831,0.8569087930092846,0.827247304416743,0.8834273537208163,12.361783981323242,cinque,M-C hard,2,i3,none,2.297808670997618
Cyclists,2830,0.823321554770318,0.795502246456153,0.8501901285784568,11.647369384765625,cinque,M-C hard,2,i3,none,2.297808670997618
Cut_ins,885,0.8824858757062147,0.8497173508376604,0.9125433602314755,12.798395156860352,cinque,M-C hard,2,i3,none,2.297808670997618
FOD,3561,0.9067677618646448,0.8807920624532116,0.9293640225469854,13.8153715133667,cinque,M-C hard,2,i3,none,2.297808670997618
Intersections,4772,0.9006705783738475,0.8862558488793141,0.9149873316306458,12.979025840759277,cinque,M-C hard,2,i3,none,2.297808670997618
straight_yaw,11597,0.963352591187376,0.9571655902236942,0.969074091390631,10.943184852600098,cinque,M-C uniform,2,i3,none,1.5075907707214349
pre_onset,1458,0.9615912208504801,0.939238349659853,0.9797298477723005,11.77001953125,cinque,M-C uniform,2,i3,none,1.5075907707214349
all,19663,0.9620098662462493,0.9572378113518156,0.9665783722330734,11.229679107666016,cinque,M-C uniform,2,i3,none,1.5075907707214349
Pedestrians,1831,0.9579464773347898,0.9422421550263684,0.9715692320492402,10.660879135131836,cinque,M-C uniform,2,i3,none,1.5075907707214349
Cyclists,2830,0.9346289752650176,0.9184817067421028,0.9493489414600276,10.188570022583008,cinque,M-C uniform,2,i3,none,1.5075907707214349
Cut_ins,885,0.9322033898305084,0.9095956890961692,0.9526378812873803,10.663578033447266,cinque,M-C uniform,2,i3,none,1.5075907707214349
FOD,3561,0.967705700645886,0.9571268367826238,0.9775051270315972,11.927058219909668,cinque,M-C uniform,2,i3,none,1.5075907707214349
Intersections,4772,0.9696144174350377,0.9605518322522851,0.9778606364651506,11.412940979003906,cinque,M-C uniform,2,i3,none,1.5075907707214349
straight_yaw,11597,0.08907476071397775,0.07446608879277145,0.10500822773965057,0.365385502576828,cinque,student A,2,i3,none,1.2393683612346642
pre_onset,1458,0.043209876543209874,0.023353739506200625,0.0673815012816898,0.33985280990600586,cinque,student A,2,i3,none,1.2393683612346642
all,19663,0.08437166251334995,0.07366660881839691,0.09550651131561909,0.4005468487739563,cinque,student A,2,i3,none,1.2393683612346642
Pedestrians,1831,0.09339158929546695,0.0640073630837139,0.12512837108953614,0.3921864926815033,cinque,student A,2,i3,none,1.2393683612346642
Cyclists,2830,0.09929328621908128,0.07314448644941685,0.12924761004230823,0.45462098717689514,cinque,student A,2,i3,none,1.2393683612346642
Cut_ins,885,0.15141242937853108,0.07917535776605496,0.25422186981140105,0.45667344331741333,cinque,student A,2,i3,none,1.2393683612346642
FOD,3561,0.07104745857905083,0.04809549773661802,0.09686374409902909,0.40259504318237305,cinque,student A,2,i3,none,1.2393683612346642
Intersections,4772,0.07208717518860017,0.0557084254866242,0.08979380580754495,0.36575961112976074,cinque,student A,2,i3,none,1.2393683612346642
straight_yaw,11597,0.004656376649133397,0.0024418809738156718,0.007385040025778077,0.05505682900547981,cinque,student A,2,i3,g2,1.2393683612346642
pre_onset,1458,0.00205761316872428,0.0,0.005598320503848845,0.039500460028648376,cinque,student A,2,i3,g2,1.2393683612346642
all,19663,0.0036616996389157302,0.0021788623121259806,0.00535010593718314,0.057087820023298264,cinque,student A,2,i3,g2,1.2393683612346642
Pedestrians,1831,0.006007646095030038,0.0011641274233537245,0.012425723821123398,0.06709742546081543,cinque,student A,2,i3,g2,1.2393683612346642
Cyclists,2830,0.007067137809187279,0.0018115614079274628,0.014089598604190456,0.08209317922592163,cinque,student A,2,i3,g2,1.2393683612346642
Cut_ins,885,0.006779661016949152,0.0,0.02097963296913121,0.08664578944444656,cinque,student A,2,i3,g2,1.2393683612346642
FOD,3561,0.002527379949452401,0.0,0.00685188693697095,0.04876532778143883,cinque,student A,2,i3,g2,1.2393683612346642
Intersections,4772,0.0014668901927912825,0.0003945202364243889,0.0029523563526123457,0.04173428565263748,cinque,student A,2,i3,g2,1.2393683612346642
