model,head,seed,scope,n,tau,activation,delta_mag_median_m
cinque,student B,2,ped_cyc_corridor,897,0.9977754622697828,0.3333333333333333,1.4078552722930908
cinque,student B,2,straight,4365,0.9977754622697828,0.5056128293241695,1.8509703874588013
lebowski,M-C pair,0,all,12146,1.6229325532913206,0.8059443438168945,14.793909072875977
lebowski,M-C pair,0,vehicle_approach,4726,1.6229325532913206,0.7780363944138806,14.559429168701172
lebowski,M-C pair,0,ped_cyc_corridor,897,1.6229325532913206,0.7770345596432553,14.881082534790039
lebowski,M-C pair,0,straight,4365,1.6229325532913206,0.8162657502863688,14.757304191589355
lebowski,M-C hard,0,all,12146,2.53054472208023,0.8701630166309896,17.856739044189453
lebowski,M-C hard,0,vehicle_approach,4726,2.53054472208023,0.9236140499365214,15.448366165161133
lebowski,M-C hard,0,ped_cyc_corridor,897,2.53054472208023,0.8472686733556298,15.878865242004395
lebowski,M-C hard,0,straight,4365,2.53054472208023,0.931958762886598,17.02761459350586
lebowski,M-C uniform,0,all,12146,1.7839093446731555,0.8588012514408035,12.895137786865234
lebowski,M-C uniform,0,vehicle_approach,4726,1.7839093446731555,0.9077443927211172,11.436305046081543
lebowski,M-C uniform,0,ped_cyc_corridor,897,1.7839093446731555,0.8238573021181717,10.981393814086914
lebowski,M-C uniform,0,straight,4365,1.7839093446731555,0.9402061855670103,12.796327590942383
lebowski,student A,0,all,12146,1.2363518476486184,0.2959822163675284,1.2349809408187866
lebowski,student A,0,vehicle_approach,4726,1.2363518476486184,0.1982649174777825,0.9886547923088074
lebowski,student A,0,ped_cyc_corridor,897,1.2363518476486184,0.1806020066889632,0.9603434205055237
lebowski,student A,0,straight,4365,1.2363518476486184,0.30882016036655213,1.1068767309188843
lebowski,student B,0,all,12146,1.166756349802017,0.3021570887534991,1.449042558670044
lebowski,student B,0,vehicle_approach,4726,1.166756349802017,0.23762166737198476,1.4471361637115479
lebowski,student B,0,ped_cyc_corridor,897,1.166756349802017,0.221850613154961,1.3009107112884521
lebowski,student B,0,straight,4365,1.166756349802017,0.32966781214203894,1.5071431398391724
lebowski,M-C pair,1,all,12146,1.5621763706207268,0.8106372468302322,15.723937034606934
lebowski,M-C pair,1,vehicle_approach,4726,1.5621763706207268,0.7900973338975879,15.59134578704834
lebowski,M-C pair,1,ped_cyc_corridor,897,1.5621763706207268,0.7892976588628763,15.919119834899902
lebowski,M-C pair,1,straight,4365,1.5621763706207268,0.8183276059564719,15.677983283996582
lebowski,M-C hard,1,all,12146,2.9398764610290504,0.8555079861682858,18.067363739013672
lebowski,M-C hard,1,vehicle_approach,4726,2.9398764610290504,0.9077443927211172,15.476526260375977
lebowski,M-C hard,1,ped_cyc_corridor,897,2.9398764610290504,0.8283166109253066,16.039640426635742
lebowski,M-C hard,1,straight,4365,2.9398764610290504,0.9193585337915234,16.984880447387695
lebowski,M-C uniform,1,all,12146,2.011610662937163,0.8458751852461716,13.025007247924805
