scope,judge,n,delta,lo,hi,model,head,seed,stats,gate
all,ADE pre_onset dec1-9,1245,9.450742721557617,8.934807097406663,9.98302511720467,cinque,M-C uniform,0,i3,none
Pedestrians,RFS (rater),52,-3.3347774269135124,-3.93041357785799,-2.7290138328109967,cinque,M-C uniform,0,i3,none
Pedestrians,ADE dec1-9,1637,9.20328140258789,8.702192760259255,9.70966783684136,cinque,M-C uniform,0,i3,none
Pedestrians,ADE pre_onset dec1-9,83,9.349081993103027,7.943676973300668,11.250021246711858,cinque,M-C uniform,0,i3,none
Cyclists,RFS (rater),71,-2.891761274429789,-3.5182091939199225,-2.2415665545224575,cinque,M-C uniform,0,i3,none
Cyclists,ADE dec1-9,2326,8.90461254119873,8.539257563349702,9.271488987778769,cinque,M-C uniform,0,i3,none
Cyclists,ADE pre_onset dec1-9,206,9.66923999786377,8.517590144890088,10.8715799450392,cinque,M-C uniform,0,i3,none
Cut_ins,RFS (rater),20,-2.6804994902269645,-3.9362279382901524,-1.2919275470314608,cinque,M-C uniform,0,i3,none
Cut_ins,ADE dec1-9,724,9.515445709228516,9.129054430852035,9.919827327563466,cinque,M-C uniform,0,i3,none
Cut_ins,ADE pre_onset dec1-9,16,8.707176208496094,7.170151537114924,9.818444418907166,cinque,M-C uniform,0,i3,none
FOD,RFS (rater),78,-3.6379121931112346,-4.177463555318147,-3.069367266848578,cinque,M-C uniform,0,i3,none
FOD,ADE dec1-9,3175,10.337041854858398,9.928000666476626,10.729859599228107,cinque,M-C uniform,0,i3,none
FOD,ADE pre_onset dec1-9,252,9.050721168518066,7.686549701473734,10.388376049960646,cinque,M-C uniform,0,i3,none
Intersections,RFS (rater),116,-3.3272014924370796,-3.743418983451604,-2.8964043727379365,cinque,M-C uniform,0,i3,none
Intersections,ADE dec1-9,4299,10.0311279296875,9.758109381827841,10.299487603130293,cinque,M-C uniform,0,i3,none
Intersections,ADE pre_onset dec1-9,301,9.88496208190918,9.037159254999375,10.75181272088042,cinque,M-C uniform,0,i3,none
all,RFS (rater),478,-0.32205105056125977,-0.4548219105668078,-0.18656045140742972,cinque,student A,0,i3,none
all,ADE dec1-9,17389,0.47505754232406616,0.42264411981517797,0.5309976680070175,cinque,student A,0,i3,none
all,ADE pre_onset dec1-9,1245,0.2049802839756012,0.1258287843889554,0.2956390045773332,cinque,student A,0,i3,none
Pedestrians,RFS (rater),52,-0.45740539071034303,-0.9436012127289123,0.0025302781467167437,cinque,student A,0,i3,none
Pedestrians,ADE dec1-9,1637,0.6078388690948486,0.4280453800770509,0.803368991437093,cinque,student A,0,i3,none
Pedestrians,ADE pre_onset dec1-9,83,0.09267125278711319,-0.07480334752114304,0.3803400167239535,cinque,student A,0,i3,none
Cyclists,RFS (rater),71,-0.6538855669404053,-1.0589996701902167,-0.2797782475584048,cinque,student A,0,i3,none
Cyclists,ADE dec1-9,2326,0.4595615565776825,0.3501371215261289,0.5823968435696341,cinque,student A,0,i3,none
Cyclists,ADE pre_onset dec1-9,206,0.3211784064769745,0.1150196266271127,0.5430311563094008,cinque,student A,0,i3,none
Cut_ins,RFS (rater),20,-0.06990617745518804,-0.6293559609038087,0.5407257071421293,cinque,student A,0,i3,none
Cut_ins,ADE dec1-9,724,0.6567289233207703,0.3432125128414901,1.0841669347803211,cinque,student A,0,i3,none
Cut_ins,ADE pre_onset dec1-9,16,0.5154258608818054,0.25882052674013023,0.8916248083114624,cinque,student A,0,i3,none
FOD,RFS (rater),78,-0.3398448277870387,-0.658763269770964,-0.030956774207244537,cinque,student A,0,i3,none
FOD,ADE dec1-9,3175,0.487873375415802,0.3530094418223525,0.6570246202056456,cinque,student A,0,i3,none
FOD,ADE pre_onset dec1-9,252,0.3689693212509155,0.17659356937566328,0.6519701876968639,cinque,student A,0,i3,none
Intersections,RFS (rater),116,-0.11898863482070358,-0.3732298896439594,0.13263132011194584,cinque,student A,0,i3,none
Intersections,ADE dec1-9,4299,0.43402013182640076,0.34995045018573545,0.523529106204008,cinque,student A,0,i3,none
Intersections,ADE pre_onset dec1-9,301,0.05969417095184326,-0.03903416285901713,0.17465869602796236,cinque,student A,0,i3,none
all,RFS (rater),478,-0.011000665879688143,-0.05753421661494959,0.03255072150794827,cinque,student A,0,i3,g2
all,ADE dec1-9,17389,0.032878559082746506,0.024413303554328452,0.041773751983158476,cinque,student A,0,i3,g2
all,ADE pre_onset dec1-9,1245,0.013910148292779922,-0.00485224625672426,0.03244777358841371,cinque,student A,0,i3,g2
Pedestrians,RFS (rater),52,-0.03795915453413999,-0.2369464700213202,0.11627640711096235,cinque,student A,0,i3,g2
Pedestrians,ADE dec1-9,1637,0.07492431998252869,0.03948216734361024,0.11431722051576161,cinque,student A,0,i3,g2
Pedestrians,ADE pre_onset dec1-9,83,-0.016523119062185287,-0.07586220078890897,0.045703600218089724,cinque,student A,0,i3,g2
Cyclists,RFS (rater),71,-0.08735987606155775,-0.22146925981875293,0.02777461026573116,cinque,student A,0,i3,g2
Cyclists,ADE dec1-9,2326,0.029343165457248688,0.005171634997116897,0.055654929425909334,cinque,student A,0,i3,g2
Cyclists,ADE pre_onset dec1-9,206,0.036675430834293365,-0.03978423067661238,0.10200967350230271,cinque,student A,0,i3,g2
Cut_ins,RFS (rater),20,0.056289534924509874,-0.10296877668601319,0.2109884271664378,cinque,student A,0,i3,g2
Cut_ins,ADE dec1-9,724,0.02178064174950123,-0.015042431520714251,0.05862107995624804,cinque,student A,0,i3,g2
Cut_ins,ADE pre_onset dec1-9,16,-0.09887343645095825,-0.46583650392644543,0.13864760739462717,cinque,student A,0,i3,g2
FOD,RFS (rater),78,0.04448286139123613,-0.014826105515671813,0.11127226539593554,cinque,student A,0,i3,g2
FOD,ADE dec1-9,3175,0.03210010379552841,0.01385546753403755,0.05754732177412669,cinque,student A,0,i3,g2
FOD,ADE pre_onset dec1-9,252,0.036912012845277786,0.0017904863455383987,0.08281046418758624,cinque,student A,0,i3,g2
Intersections,RFS (rater),116,0.07208481384828361,-0.01581894510278236,0.17518780313848173,cinque,student A,0,i3,g2
Intersections,ADE dec1-9,4299,0.024456394836306572,0.0108846773723777,0.038141886977224974,cinque,student A,0,i3,g2
Intersections,ADE pre_onset dec1-9,301,-0.0046493192203342915,-0.027342470494330365,0.01823634119965641,cinque,student A,0,i3,g2
all,RFS (rater),478,-0.4696975231830999,-0.6156500282527504,-0.3293044701456329,cinque,student B,0,i3,none
all,ADE dec1-9,17389,0.5211719870567322,0.4621398095590999,0.5844233550770962,cinque,student B,0,i3,none
all,ADE pre_onset dec1-9,1245,0.2842325270175934,0.18948804829526186,0.39345869866285393,cinque,student B,0,i3,none
Pedestrians,RFS (rater),52,-0.5826467879926608,-1.1158301504679673,-0.07995331303108397,cinque,student B,0,i3,none
Pedestrians,ADE dec1-9,1637,0.6710425615310669,0.4822396588730235,0.8741393677076335,cinque,student B,0,i3,none
Pedestrians,ADE pre_onset dec1-9,83,0.1938810646533966,-0.07242160442746805,0.602013103694189,cinque,student B,0,i3,none
Cyclists,RFS (rater),71,-0.868479512442387,-1.2896737477886309,-0.4847224321213591,cinque,student B,0,i3,none
Cyclists,ADE dec1-9,2326,0.5475936532020569,0.4170378149375958,0.7002595349802345,cinque,student B,0,i3,none
Cyclists,ADE pre_onset dec1-9,206,0.3360009789466858,0.1474244356332149,0.5602606581941247,cinque,student B,0,i3,none
Cut_ins,RFS (rater),20,-0.07651046693276453,-0.6431302357098727,0.4939288286605108,cinque,student B,0,i3,none
Cut_ins,ADE dec1-9,724,0.7494547963142395,0.38699692377572126,1.2521649866348785,cinque,student B,0,i3,none
Cut_ins,ADE pre_onset dec1-9,16,0.42248034477233887,0.34718021925757914,0.5176523923873901,cinque,student B,0,i3,none
FOD,RFS (rater),78,-0.4652344065660564,-0.8069954214135147,-0.16184185811108123,cinque,student B,0,i3,none
FOD,ADE dec1-9,3175,0.5062674283981323,0.36136258613353334,0.6872112012381656,cinque,student B,0,i3,none
FOD,ADE pre_onset dec1-9,252,0.5218713879585266,0.26567566028414674,0.888423193497456,cinque,student B,0,i3,none
Intersections,RFS (rater),116,-0.37597789546227606,-0.6470092184450228,-0.11353658735020376,cinque,student B,0,i3,none
Intersections,ADE dec1-9,4299,0.4639783799648285,0.36956452144070656,0.5649416667309123,cinque,student B,0,i3,none
Intersections,ADE pre_onset dec1-9,301,0.19911494851112366,-0.0038697188801675116,0.47907145129958945,cinque,student B,0,i3,none
all,RFS (rater),478,-3.365743898567243,-3.5735381968351647,-3.1536507403990663,cinque,M-C pair,1,i3,none
all,ADE dec1-9,17389,10.316198348999023,10.043071140805493,10.594082593456447,cinque,M-C pair,1,i3,none
all,ADE pre_onset dec1-9,1245,8.984347343444824,8.309674807910238,9.674374509988022,cinque,M-C pair,1,i3,none
Pedestrians,RFS (rater),52,-3.4617566183333346,-4.1279882795064715,-2.767526767260279,cinque,M-C pair,1,i3,none
Pedestrians,ADE dec1-9,1637,10.456334114074707,9.450887485489206,11.472912811330216,cinque,M-C pair,1,i3,none
Pedestrians,ADE pre_onset dec1-9,83,7.1075358390808105,4.428478241581594,9.901593236161057,cinque,M-C pair,1,i3,none
Cyclists,RFS (rater),71,-3.2779219362896606,-3.818501563147931,-2.7252587775749597,cinque,M-C pair,1,i3,none
Cyclists,ADE dec1-9,2326,10.903749465942383,10.244184034278396,11.531570029126549,cinque,M-C pair,1,i3,none
Cyclists,ADE pre_onset dec1-9,206,10.317920684814453,8.530398917817964,12.253347551212636,cinque,M-C pair,1,i3,none
Cut_ins,RFS (rater),20,-3.5214380043736417,-4.451270088695038,-2.560487647602901,cinque,M-C pair,1,i3,none
Cut_ins,ADE dec1-9,724,11.323625564575195,9.913426711637898,12.574626382683617,cinque,M-C pair,1,i3,none
Cut_ins,ADE pre_onset dec1-9,16,9.616427421569824,4.059911727905273,12.950336742401124,cinque,M-C pair,1,i3,none
FOD,RFS (rater),78,-3.6292510324730776,-4.13594101520787,-3.111185036940049,cinque,M-C pair,1,i3,none
FOD,ADE dec1-9,3175,9.984339714050293,9.329906903348498,10.609408029727337,cinque,M-C pair,1,i3,none
FOD,ADE pre_onset dec1-9,252,8.61905574798584,7.406827700497804,9.918108773462375,cinque,M-C pair,1,i3,none
Intersections,RFS (rater),116,-3.4812558897254187,-3.875703784926867,-3.0642489815264073,cinque,M-C pair,1,i3,none
Intersections,ADE dec1-9,4299,10.319487571716309,9.778575997653881,10.83805479301347,cinque,M-C pair,1,i3,none
Intersections,ADE pre_onset dec1-9,301,8.211670875549316,7.043521909973717,9.427632052728358,cinque,M-C pair,1,i3,none
all,RFS (rater),478,-0.9453768087076206,-1.1358241108498903,-0.7587544551339808,cinque,M-C pair,1,i3,g2
all,ADE dec1-9,17389,1.1348812580108643,1.0487447345518526,1.2214474181128008,cinque,M-C pair,1,i3,g2
all,ADE pre_onset dec1-9,1245,0.7706279754638672,0.5644920846701884,0.992858692283448,cinque,M-C pair,1,i3,g2
Pedestrians,RFS (rater),52,-1.1185834275889428,-1.6717366155932882,-0.593160132773993,cinque,M-C pair,1,i3,g2
Pedestrians,ADE dec1-9,1637,1.288273572921753,1.0283631191566922,1.5652539629675863,cinque,M-C pair,1,i3,g2
Pedestrians,ADE pre_onset dec1-9,83,0.4683925211429596,-0.08466904197904193,1.1204145627282558,cinque,M-C pair,1,i3,g2
Cyclists,RFS (rater),71,-1.7599941622774784,-2.343656338170852,-1.182536589888554,cinque,M-C pair,1,i3,g2
Cyclists,ADE dec1-9,2326,1.5241060256958008,1.2579792432950192,1.8093637935669695,cinque,M-C pair,1,i3,g2
Cyclists,ADE pre_onset dec1-9,206,1.246917724609375,0.5084866672419012,2.1158636699466347,cinque,M-C pair,1,i3,g2
Cut_ins,RFS (rater),20,-1.2560036006687114,-2.1713724181310097,-0.42422585006617103,cinque,M-C pair,1,i3,g2
Cut_ins,ADE dec1-9,724,1.633599042892456,1.1786053237374592,2.0562721382993097,cinque,M-C pair,1,i3,g2
Cut_ins,ADE pre_onset dec1-9,16,1.1144150495529175,-0.4595280359773075,2.713042914867401,cinque,M-C pair,1,i3,g2
FOD,RFS (rater),78,-0.6998042241740499,-1.1078593630144606,-0.298070488429622,cinque,M-C pair,1,i3,g2
FOD,ADE dec1-9,3175,1.0193486213684082,0.8369026876749015,1.2113416328008844,cinque,M-C pair,1,i3,g2
FOD,ADE pre_onset dec1-9,252,0.7825648784637451,0.43672493789566996,1.1748744501018784,cinque,M-C pair,1,i3,g2
Intersections,RFS (rater),116,-0.7173862108322916,-1.1050006601532425,-0.3374238079633097,cinque,M-C pair,1,i3,g2
Intersections,ADE dec1-9,4299,0.9313746690750122,0.7762535289589654,1.0899985102458605,cinque,M-C pair,1,i3,g2
Intersections,ADE pre_onset dec1-9,301,0.5854568481445312,0.16228641302426516,1.044412835144529,cinque,M-C pair,1,i3,g2
all,RFS (rater),478,-3.2497953717032244,-3.4698416578835896,-3.0219210591137586,cinque,M-C hard,1,i3,none
all,ADE dec1-9,17389,12.232606887817383,12.027670594561286,12.439127972984878,cinque,M-C hard,1,i3,none
all,ADE pre_onset dec1-9,1245,11.949544906616211,11.244691463936375,12.678522196282389,cinque,M-C hard,1,i3,none
Pedestrians,RFS (rater),52,-3.4004805383320775,-3.990506973726772,-2.8130750417866124,cinque,M-C hard,1,i3,none
Pedestrians,ADE dec1-9,1637,11.718886375427246,11.073516113895998,12.401445116876125,cinque,M-C hard,1,i3,none
Pedestrians,ADE pre_onset dec1-9,83,12.04842472076416,10.05037995626529,14.630384366178568,cinque,M-C hard,1,i3,none
Cyclists,RFS (rater),71,-3.0027867164500157,-3.6029615184302197,-2.376199190629971,cinque,M-C hard,1,i3,none
Cyclists,ADE dec1-9,2326,11.197334289550781,10.695239755008275,11.700762402480922,cinque,M-C hard,1,i3,none
Cyclists,ADE pre_onset dec1-9,206,12.003422737121582,10.269088316608796,13.690717991771239,cinque,M-C hard,1,i3,none
Cut_ins,RFS (rater),20,-2.7613006225096983,-3.9789678468160674,-1.4589876091712077,cinque,M-C hard,1,i3,none
Cut_ins,ADE dec1-9,724,12.453678131103516,11.68527294380376,13.200293234212802,cinque,M-C hard,1,i3,none
Cut_ins,ADE pre_onset dec1-9,16,10.765363693237305,7.6238109848716045,13.669024618048416,cinque,M-C hard,1,i3,none
FOD,RFS (rater),78,-3.5760316438566586,-4.103685097701887,-3.023699650610423,cinque,M-C hard,1,i3,none
FOD,ADE dec1-9,3175,12.932231903076172,12.361095351696576,13.469084668182605,cinque,M-C hard,1,i3,none
FOD,ADE pre_onset dec1-9,252,11.526090621948242,9.67526176674888,13.279028998455694,cinque,M-C hard,1,i3,none
Intersections,RFS (rater),116,-3.3509344110742743,-3.7792936764061875,-2.9101936742290184,cinque,M-C hard,1,i3,none
Intersections,ADE dec1-9,4299,12.404865264892578,12.06049086706829,12.736846347537387,cinque,M-C hard,1,i3,none
Intersections,ADE pre_onset dec1-9,301,12.533297538757324,11.29046444218541,13.845370286847507,cinque,M-C hard,1,i3,none
all,RFS (rater),478,-3.255897422532584,-3.474989126258092,-3.0321287612889227,cinque,M-C uniform,1,i3,none
all,ADE dec1-9,17389,10.328771591186523,10.17485809402154,10.483305583154808,cinque,M-C uniform,1,i3,none
all,ADE pre_onset dec1-9,1245,10.01012134552002,9.48907131484957,10.545502936554026,cinque,M-C uniform,1,i3,none
Pedestrians,RFS (rater),52,-3.35312802528158,-3.9489399353740673,-2.7546704676145244,cinque,M-C uniform,1,i3,none
Pedestrians,ADE dec1-9,1637,9.780696868896484,9.281249139859877,10.285118819220259,cinque,M-C uniform,1,i3,none
Pedestrians,ADE pre_onset dec1-9,83,9.891651153564453,8.486475135160982,11.787426866590977,cinque,M-C uniform,1,i3,none
Cyclists,RFS (rater),71,-2.9979881688741097,-3.5894463488323787,-2.3865242611753943,cinque,M-C uniform,1,i3,none
Cyclists,ADE dec1-9,2326,9.481468200683594,9.116811636313034,9.845965755109173,cinque,M-C uniform,1,i3,none
Cyclists,ADE pre_onset dec1-9,206,10.264402389526367,9.126850018451922,11.46290393702583,cinque,M-C uniform,1,i3,none
Cut_ins,RFS (rater),20,-2.691062199900256,-3.9328874155995632,-1.3320474943539489,cinque,M-C uniform,1,i3,none
Cut_ins,ADE dec1-9,724,10.100119590759277,9.713650658249039,10.507494412969558,cinque,M-C uniform,1,i3,none
Cut_ins,ADE pre_onset dec1-9,16,9.376691818237305,7.747073476964777,10.58686285018921,cinque,M-C uniform,1,i3,none
FOD,RFS (rater),78,-3.656858775177295,-4.199455883601453,-3.0919792838098035,cinque,M-C uniform,1,i3,none
FOD,ADE dec1-9,3175,10.901424407958984,10.493436219738177,11.29199824133418,cinque,M-C uniform,1,i3,none
FOD,ADE pre_onset dec1-9,252,9.602056503295898,8.22899778083232,10.944751192402904,cinque,M-C uniform,1,i3,none
Intersections,RFS (rater),116,-3.312575313174416,-3.737043645865631,-2.878047602526748,cinque,M-C uniform,1,i3,none
Intersections,ADE dec1-9,4299,10.571534156799316,10.298899937154815,10.840289407701608,cinque,M-C uniform,1,i3,none
Intersections,ADE pre_onset dec1-9,301,10.449413299560547,9.592902639686567,11.33295433451561,cinque,M-C uniform,1,i3,none
all,RFS (rater),478,-0.2778122095819222,-0.4001255687618221,-0.15853805713070038,cinque,student A,1,i3,none
all,ADE dec1-9,17389,0.37823396921157837,0.32673285344111547,0.4341918201423023,cinque,student A,1,i3,none
all,ADE pre_onset dec1-9,1245,0.15455202758312225,0.08625972720588444,0.23143418821604125,cinque,student A,1,i3,none
Pedestrians,RFS (rater),52,-0.34989180394613173,-0.8497589769921796,0.12940310463382937,cinque,student A,1,i3,none
Pedestrians,ADE dec1-9,1637,0.4656931459903717,0.3082168666854763,0.6392912741743125,cinque,student A,1,i3,none
Pedestrians,ADE pre_onset dec1-9,83,0.1282058209180832,-0.1470758581490519,0.5370667509127859,cinque,student A,1,i3,none
Cyclists,RFS (rater),71,-0.48847695880337905,-0.871260868640202,-0.15183479056886823,cinque,student A,1,i3,none
Cyclists,ADE dec1-9,2326,0.367473840713501,0.255876091562661,0.5089813917991466,cinque,student A,1,i3,none
Cyclists,ADE pre_onset dec1-9,206,0.20083725452423096,0.05792002353663465,0.39362737592411495,cinque,student A,1,i3,none
Cut_ins,RFS (rater),20,-0.055079817562662246,-0.525967843999629,0.5126689163042831,cinque,student A,1,i3,none
Cut_ins,ADE dec1-9,724,0.5560535192489624,0.2605487513725618,0.9971940029230392,cinque,student A,1,i3,none
Cut_ins,ADE pre_onset dec1-9,16,-0.006462208926677704,-0.591379793251262,0.4452895359559493,cinque,student A,1,i3,none
FOD,RFS (rater),78,-0.2667308354424611,-0.5683953089298623,0.001108693956488423,cinque,student A,1,i3,none
FOD,ADE dec1-9,3175,0.4257325828075409,0.2763018609680253,0.6272925826762286,cinque,student A,1,i3,none
FOD,ADE pre_onset dec1-9,252,0.2879142165184021,0.10693662004110291,0.5551815884733955,cinque,student A,1,i3,none
Intersections,RFS (rater),116,-0.15625578890201414,-0.4084312730167108,0.06814071570069258,cinque,student A,1,i3,none
Intersections,ADE dec1-9,4299,0.32831859588623047,0.2521393345905671,0.4081395539351951,cinque,student A,1,i3,none
Intersections,ADE pre_onset dec1-9,301,0.10562432557344437,0.007008340864862746,0.2381049377712226,cinque,student A,1,i3,none
all,RFS (rater),478,-0.0096379664491846,-0.05754107738214786,0.03583117218785638,cinque,student A,1,i3,g2
all,ADE dec1-9,17389,0.025845497846603394,0.018042707451760155,0.034268241593286966,cinque,student A,1,i3,g2
all,ADE pre_onset dec1-9,1245,0.005787041503936052,-0.004148374399260021,0.016166212211210708,cinque,student A,1,i3,g2
Pedestrians,RFS (rater),52,-0.02427080857164176,-0.23853580837371818,0.11895021963355454,cinque,student A,1,i3,g2
Pedestrians,ADE dec1-9,1637,0.049964070320129395,0.0245300471288145,0.07853440130083603,cinque,student A,1,i3,g2
Pedestrians,ADE pre_onset dec1-9,83,0.007264619693160057,-0.04307061085223872,0.07714172851527107,cinque,student A,1,i3,g2
Cyclists,RFS (rater),71,-0.08289524887705385,-0.21783286135683222,0.033860065826472,cinque,student A,1,i3,g2
Cyclists,ADE dec1-9,2326,0.029825780540704727,0.006693127222056597,0.05826492999022868,cinque,student A,1,i3,g2
Cyclists,ADE pre_onset dec1-9,206,0.02430453896522522,0.0012959090415314393,0.05137262055367944,cinque,student A,1,i3,g2
Cut_ins,RFS (rater),20,-0.02362200255893989,-0.2619152783281233,0.16792447604168037,cinque,student A,1,i3,g2
Cut_ins,ADE dec1-9,724,0.01484646461904049,-0.01679942647498051,0.04480275193902948,cinque,student A,1,i3,g2
Cut_ins,ADE pre_onset dec1-9,16,-0.025926902890205383,-0.15684962973875158,0.07352477853948419,cinque,student A,1,i3,g2
FOD,RFS (rater),78,0.04535195167543991,-0.013365710299126686,0.12047791220170405,cinque,student A,1,i3,g2
FOD,ADE dec1-9,3175,0.025348123162984848,0.007066946777727199,0.054886740998948115,cinque,student A,1,i3,g2
