pair,readout,role,cluster,n,value,delta,lo,hi,halfwidth,base_value
cls_late lebowski - cls ego,"ADE all val, s_ego deciles 1-9 (m, lower better)",primary,Foreign Object Debris,15442,1.8047674894332886,0.02898833528161049,-0.12520343083646554,0.2540959381620813,0.18964968449927344,1.775779128074646
cls_late lebowski - cls ego,"ADE all val, s_ego deciles 1-9 (m, lower better)",primary,Interections,23525,1.4611485004425049,-0.09876144677400589,-0.17922902350022488,-0.004702464490497264,0.0872632795048638,1.5599100589752197
cls_late lebowski - cls ego,"ADE all val, s_ego deciles 1-9 (m, lower better)",primary,all,95724,1.6148864030838013,-0.05348803102970123,-0.10441627210478606,0.0054808790685623955,0.05494857558667423,1.6683741807937622
cls_late lebowski - cls ego,"ADE pre-onset, s_ego deciles 1-9 (m)",side,Cut_ins,16,2.255013942718506,-0.6575250029563904,-1.3679045228397144,0.1583606515611921,0.7631325872004533,2.912539005279541
cls_late lebowski - cls ego,"ADE pre-onset, s_ego deciles 1-9 (m)",side,Pedestrian,84,2.4761903285980225,0.4000459313392639,-0.35851126171667175,1.4092648202629712,0.8838880409898214,2.076144218444824
cls_late lebowski - cls ego,"ADE pre-onset, s_ego deciles 1-9 (m)",side,Cyclist,206,1.8605550527572632,-0.2877134084701538,-0.5637663685148666,-0.005681867692141127,0.27904225041136277,2.148268461227417
cls_late lebowski - cls ego,"ADE pre-onset, s_ego deciles 1-9 (m)",side,Foreign Object Debris,264,2.3374669551849365,-0.5335862040519714,-0.8571600253464233,-0.2565117515329538,0.30032413690673476,2.8710529804229736
cls_late lebowski - cls ego,"ADE pre-onset, s_ego deciles 1-9 (m)",side,Interections,323,2.0118815898895264,-0.10665126144886017,-0.3679477274652999,0.15150101386619208,0.259724370665746,2.118533134460449
cls_late lebowski - cls ego,"ADE pre-onset, s_ego deciles 1-9 (m)",side,all,1291,2.148696184158325,-0.15747365355491638,-0.33423414197461754,0.06156488540243127,0.1978995136885244,2.3061699867248535
cls_late lebowski - cls ego,RFS rater frames (higher better),primary,Cut_ins,20,8.174217511919647,0.959732803575552,-0.053397177225106056,2.2088406809220897,1.131118929073598,7.214484708344097
cls_late lebowski - cls ego,RFS rater frames (higher better),primary,Pedestrian,52,8.086923529104158,0.08165756279233413,-0.3808187141683013,0.48192022300854537,0.43136946858842334,8.005265966311825
cls_late lebowski - cls ego,RFS rater frames (higher better),primary,Cyclist,71,7.373655270003893,0.5427698810147725,0.10846313053620214,0.99898982426357,0.4452633468636839,6.830885388989121
cls_late lebowski - cls ego,RFS rater frames (higher better),primary,Foreign Object Debris,78,7.900955536611725,0.4791280208302524,0.10753374539695833,0.8543713192958213,0.3734187869494315,7.421827515781471
cls_late lebowski - cls ego,RFS rater frames (higher better),primary,Interections,116,7.684902116702406,0.3446448418796333,-0.0038120918193525906,0.694712832926273,0.3492624623728128,7.340257274822773
cls_late lebowski - cls ego,RFS rater frames (higher better),primary,all,479,7.703487033288038,0.4261467120585674,0.2623362254115513,0.5837209594821566,0.16069236703530265,7.277340321229472
native lebowski - cv,RFS rater frames (higher better),primary,Cut_ins,20,8.4960882204548,0.08079670423254734,-0.761298000640397,1.0387930346715477,0.9000455176559723,8.41529151622225
native lebowski - cv,RFS rater frames (higher better),primary,Pedestrian,52,8.16627774580463,0.8475814095092689,0.21095745674039562,1.516542101214069,0.6527923222368367,7.3186963362953605
native lebowski - cv,RFS rater frames (higher better),primary,Cyclist,71,7.938389200118579,1.1717323498625771,0.48754144743927164,1.8280734327160943,0.6702659926384114,6.766656850256002
native lebowski - cv,RFS rater frames (higher better),primary,Foreign Object Debris,78,7.815778751957546,0.8565168652286648,0.26948711828967925,1.4376451470217742,0.5840790143660475,6.95926188672888
native lebowski - cv,RFS rater frames (higher better),primary,Interections,116,7.50727728143402,0.39542268075411696,-0.11363808428917321,0.9056668093637705,0.5096524468264718,7.111854600679903
native lebowski - cv,RFS rater frames (higher better),primary,all,479,7.80468568915373,0.7589736491432854,0.5370813321340652,1.0102051412998052,0.23656190458287002,7.045712040010445
native lebowski - cv,"ADE 20237 subset, s_ego deciles 1-9 (m)",primary,Cut_ins,742,2.534864664077759,0.03523993864655495,-0.4942377337271742,0.5213025554667933,0.5077701445969838,2.4996249675750732
native lebowski - cv,"ADE 20237 subset, s_ego deciles 1-9 (m)",primary,Pedestrian,1698,2.3948206901550293,-0.3654903769493103,-0.7952938062766046,0.1033558351542407,0.4493248207154227,2.7603111267089844
native lebowski - cv,"ADE 20237 subset, s_ego deciles 1-9 (m)",primary,Cyclist,2405,2.6454923152923584,-0.403374582529068,-0.8670352989484281,0.1347459400239264,0.5008906194861773,3.0488669872283936
native lebowski - cv,"ADE 20237 subset, s_ego deciles 1-9 (m)",primary,Foreign Object Debris,3265,2.9549005031585693,0.10407177358865738,-0.4249470645516645,0.6006453501367469,0.5127962073442057,2.8508288860321045
native lebowski - cv,"ADE 20237 subset, s_ego deciles 1-9 (m)",primary,Interections,4445,2.7863636016845703,-0.14322736859321594,-0.5360060733513579,0.251734308738234,0.3938701910447959,2.929590940475464
native lebowski - cv,"ADE 20237 subset, s_ego deciles 1-9 (m)",primary,all,17928,2.681546926498413,-0.2336963415145874,-0.4200129529141443,-0.0342309653523038,0.19289099378092026,2.915243148803711
native lebowski - cv,"ADE all val (trainval native), s_ego deciles 1-9 (m)",side,Cut_ins,3666,2.5573337078094482,-0.030039852485060692,-0.36203941472222473,0.296838617693358,0.32943901620779137,2.587373733520508
native lebowski - cv,"ADE all val (trainval native), s_ego deciles 1-9 (m)",side,Pedestrian,10468,1.919586181640625,-0.20599894225597382,-0.4661539875682596,0.0399319990490983,0.25304299330867897,2.1255850791931152
native lebowski - cv,"ADE all val (trainval native), s_ego deciles 1-9 (m)",side,Cyclist,13533,2.402456521987915,-0.2010950893163681,-0.5397403558305215,0.16114995175652194,0.3504451537935217,2.6035518646240234
native lebowski - cv,"ADE all val (trainval native), s_ego deciles 1-9 (m)",side,Foreign Object Debris,15442,2.8060452938079834,0.3276560306549072,-0.08289657988126894,0.738885111022774,0.4108908454520215,2.4783897399902344
native lebowski - cv,"ADE all val (trainval native), s_ego deciles 1-9 (m)",side,Interections,23525,2.470585823059082,0.08353148400783539,-0.1829344275450401,0.3636232144263926,0.2732788209857164,2.387054443359375
native lebowski - cv,"ADE all val (trainval native), s_ego deciles 1-9 (m)",side,all,95724,2.4191460609436035,-0.007519938983023167,-0.1436638913644787,0.14562135693906042,0.14464262415176957,2.4266655445098877
