scope,n,activation,lo,hi,delta_mag_median_m,model,arm,tau
Pedestrians,1831,0.21736755871108684,0.17533811266749058,0.2609353822174031,2.292736919925781,cinque,E2 pair op (a),1.360622525215149
Cyclists,2830,0.2462897526501767,0.20865632167307424,0.2849188039557489,2.1546727532139522,cinque,E2 pair op (a),1.360622525215149
Cut_ins,885,0.26101694915254237,0.19890633634186775,0.3271386896025094,2.008804294502079,cinque,E2 pair op (a),1.360622525215149
FOD,3561,0.21482729570345407,0.17803225613637066,0.25225863965509154,2.1882118023712858,cinque,E2 pair op (a),1.360622525215149
Intersections,4772,0.20704107292539817,0.17878895125753813,0.2356761834421954,2.1245784740712477,cinque,E2 pair op (a),1.360622525215149
straight_yaw,11597,0.010347503664740881,0.005277491705575868,0.01767577311181693,1.8380654037652158,lebowski,E2 pair (a),2.5277442932128906
pre_onset,1458,0.039780521262002745,0.019484498844963963,0.06492591159746018,3.005439675262921,lebowski,E2 pair (a),2.5277442932128906
all,19663,0.015613080404821239,0.010520333285610414,0.021905516299535095,2.0616622179311213,lebowski,E2 pair (a),2.5277442932128906
Pedestrians,1831,0.006553795740032769,0.0005277044854881266,0.016463601454307766,1.7930102860403045,lebowski,E2 pair (a),2.5277442932128906
Cyclists,2830,0.007067137809187279,0.0022530768658256452,0.013241266072584862,1.8704683812042788,lebowski,E2 pair (a),2.5277442932128906
Cut_ins,885,0.04293785310734463,0.0,0.1266156729356207,1.691508046681814,lebowski,E2 pair (a),2.5277442932128906
FOD,3561,0.02611625947767481,0.010192486955335523,0.0476321010002219,2.1161628777524784,lebowski,E2 pair (a),2.5277442932128906
Intersections,4772,0.011944677284157585,0.007138296286891877,0.01763628491576941,2.353366577747806,lebowski,E2 pair (a),2.5277442932128906
straight_yaw,11597,0.0,0.0,0.0,0.6653338519264657,lebowski,E2 hard (a),1.1637214422225952
pre_onset,1458,0.0,0.0,0.0,0.5851195873237147,lebowski,E2 hard (a),1.1637214422225952
all,19663,0.0,0.0,0.0,0.623502363771224,lebowski,E2 hard (a),1.1637214422225952
Pedestrians,1831,0.0,0.0,0.0,0.6078374655704788,lebowski,E2 hard (a),1.1637214422225952
Cyclists,2830,0.0,0.0,0.0,0.5504269317188658,lebowski,E2 hard (a),1.1637214422225952
Cut_ins,885,0.0,0.0,0.0,0.6220378425778836,lebowski,E2 hard (a),1.1637214422225952
FOD,3561,0.0,0.0,0.0,0.6637607102491351,lebowski,E2 hard (a),1.1637214422225952
Intersections,4772,0.0,0.0,0.0,0.6418436974300346,lebowski,E2 hard (a),1.1637214422225952
straight_yaw,11597,0.0,0.0,0.0,0.6708040506245466,lebowski,E2 uniform (a),1.1476060450077057
pre_onset,1458,0.0,0.0,0.0,0.610955682415891,lebowski,E2 uniform (a),1.1476060450077057
all,19663,0.0,0.0,0.0,0.6391862170313463,lebowski,E2 uniform (a),1.1476060450077057
Pedestrians,1831,0.0,0.0,0.0,0.7021993988107801,lebowski,E2 uniform (a),1.1476060450077057
Cyclists,2830,0.0,0.0,0.0,0.6160147181603888,lebowski,E2 uniform (a),1.1476060450077057
Cut_ins,885,0.0,0.0,0.0,0.694910125839872,lebowski,E2 uniform (a),1.1476060450077057
FOD,3561,0.0,0.0,0.0,0.6561806149917405,lebowski,E2 uniform (a),1.1476060450077057
Intersections,4772,0.0,0.0,0.0,0.6159126705955071,lebowski,E2 uniform (a),1.1476060450077057
straight_yaw,11597,0.007243252565318617,0.002712795752393102,0.014019086407412187,2.19750756793067,lebowski,E2 pair qwen (a),2.4961519837379456
pre_onset,1458,0.019890260631001373,0.0013811916391186147,0.04627920104932839,2.31281092946535,lebowski,E2 pair qwen (a),2.4961519837379456
all,19663,0.010222244825306414,0.005371596348718442,0.016424651561343068,2.2664856357112186,lebowski,E2 pair qwen (a),2.4961519837379456
Pedestrians,1831,0.007646095030038231,0.0,0.020106132952431514,1.7708699394339322,lebowski,E2 pair qwen (a),2.4961519837379456
Cyclists,2830,0.0007067137809187279,0.0,0.002181818181818182,2.025049373706567,lebowski,E2 pair qwen (a),2.4961519837379456
Cut_ins,885,0.03615819209039548,0.0,0.11228070175438597,1.6029360821587673,lebowski,E2 pair qwen (a),2.4961519837379456
FOD,3561,0.020780679584386407,0.004074461776838932,0.04605046585597203,2.513855684749217,lebowski,E2 pair qwen (a),2.4961519837379456
Intersections,4772,0.006496227996647108,0.0028955537928310204,0.010876505067463765,2.5335049466485624,lebowski,E2 pair qwen (a),2.4961519837379456
straight_yaw,11597,0.02172975769595585,0.017304503871673826,0.0265543365169614,1.300195960021268,lebowski,E2 pair op (a),1.332802265882492
pre_onset,1458,0.10219478737997256,0.06770464334495795,0.13953524754780686,1.8454978035209926,lebowski,E2 pair op (a),1.332802265882492
all,19663,0.02898845547474953,0.024327639002420166,0.03394261975961952,1.3798261165169847,lebowski,E2 pair op (a),1.332802265882492
Pedestrians,1831,0.026215182960131075,0.015100460119822481,0.038481820433230673,1.385469307763842,lebowski,E2 pair op (a),1.332802265882492
Cyclists,2830,0.03568904593639576,0.021348314606741574,0.052669728588777144,1.3527934044525913,lebowski,E2 pair op (a),1.332802265882492
Cut_ins,885,0.012429378531073447,0.004381161007667032,0.023102611356026106,1.364269734579837,lebowski,E2 pair op (a),1.332802265882492
