scope,judge,n,delta,lo,hi,model,arm
FOD,RFS (rater),78,-2.602397009737306,-3.1480056487618513,-2.060165899075784,cinque,E2 pair qwen (a)
FOD,ADE dec1-9,3175,1.7718563260754228,1.5194333222561986,2.0617834482553326,cinque,E2 pair qwen (a)
FOD,ADE pre_onset dec1-9,252,1.8129149961179751,1.004105824672524,2.771633873939346,cinque,E2 pair qwen (a)
Intersections,RFS (rater),116,-2.4409259515803767,-2.8966430927382496,-1.9809361131634133,cinque,E2 pair qwen (a)
Intersections,ADE dec1-9,4299,1.733442390185446,1.5424151709102598,1.9315356342235046,cinque,E2 pair qwen (a)
Intersections,ADE pre_onset dec1-9,301,1.2001064727816662,0.7492192256939496,1.6765553745987214,cinque,E2 pair qwen (a)
all,RFS (rater),478,-1.2221867433800084,-1.4216225394407866,-1.0206000916732207,cinque,E2 pair op (a)
all,ADE dec1-9,17389,1.4937917452099807,1.4249712405574613,1.5646038904999593,cinque,E2 pair op (a)
all,ADE pre_onset dec1-9,1245,2.1269319957568773,1.8249543294630388,2.4298332994393967,cinque,E2 pair op (a)
Pedestrians,RFS (rater),52,-1.2568048673344674,-1.9658872479266318,-0.5292558425193686,cinque,E2 pair op (a)
Pedestrians,ADE dec1-9,1637,1.4860821791465226,1.2693450936230546,1.6945069792122176,cinque,E2 pair op (a)
Pedestrians,ADE pre_onset dec1-9,83,1.5379098192410088,0.77899475399532,2.347614501447225,cinque,E2 pair op (a)
Cyclists,RFS (rater),71,-1.5835574628034377,-2.170615074795163,-1.0121243517261302,cinque,E2 pair op (a)
Cyclists,ADE dec1-9,2326,1.4240174070379896,1.255555967224584,1.5929392052415479,cinque,E2 pair op (a)
Cyclists,ADE pre_onset dec1-9,206,1.8201622772847235,1.1240433837080481,2.6105303583452737,cinque,E2 pair op (a)
Cut_ins,RFS (rater),20,-1.8028268528648819,-2.7455932079972554,-0.9547215631665461,cinque,E2 pair op (a)
Cut_ins,ADE dec1-9,724,1.3739488907648314,1.1084565928922359,1.649276044399399,cinque,E2 pair op (a)
Cut_ins,ADE pre_onset dec1-9,16,1.190290526961886,-0.11399125225021987,2.3173805136113046,cinque,E2 pair op (a)
FOD,RFS (rater),78,-1.16919469850256,-1.6425582581902392,-0.6963549792979634,cinque,E2 pair op (a)
FOD,ADE dec1-9,3175,1.5914394159743688,1.4355479760886598,1.7501962424044555,cinque,E2 pair op (a)
FOD,ADE pre_onset dec1-9,252,2.6551525431072682,2.0314531432321004,3.322035378782241,cinque,E2 pair op (a)
Intersections,RFS (rater),116,-1.1760120610427307,-1.5756184926776795,-0.7974747629623908,cinque,E2 pair op (a)
Intersections,ADE dec1-9,4299,1.4980037196452927,1.3560830190318447,1.640486501411026,cinque,E2 pair op (a)
Intersections,ADE pre_onset dec1-9,301,2.1954176067478683,1.6080215736913956,2.82252131169941,cinque,E2 pair op (a)
all,RFS (rater),478,-2.225427003187264,-2.437021815756852,-2.009079973960918,lebowski,E2 pair (a)
all,ADE dec1-9,17389,1.606367279244792,1.519441453564882,1.6975450918140524,lebowski,E2 pair (a)
all,ADE pre_onset dec1-9,1245,2.175229999008328,1.8051717144236277,2.5722500721578445,lebowski,E2 pair (a)
Pedestrians,RFS (rater),52,-2.3953713921345576,-2.9757186115576237,-1.8189706631387277,lebowski,E2 pair (a)
Pedestrians,ADE dec1-9,1637,1.3090971637904854,1.115469993399158,1.540477498837347,lebowski,E2 pair (a)
Pedestrians,ADE pre_onset dec1-9,83,1.5387609328964615,0.43351391724370314,2.573404115112838,lebowski,E2 pair (a)
Cyclists,RFS (rater),71,-1.6136129546793168,-2.124080807843013,-1.1267365825663747,lebowski,E2 pair (a)
Cyclists,ADE dec1-9,2326,1.3173710070469744,1.165171938278418,1.481687469033886,lebowski,E2 pair (a)
Cyclists,ADE pre_onset dec1-9,206,1.5460351806875816,0.8222501893760901,2.47680235450559,lebowski,E2 pair (a)
Cut_ins,RFS (rater),20,-1.9811224693437144,-2.834245813326409,-1.1488688985904538,lebowski,E2 pair (a)
Cut_ins,ADE dec1-9,724,1.4431692939593752,0.9947350688596456,2.102038802968167,lebowski,E2 pair (a)
Cut_ins,ADE pre_onset dec1-9,16,0.609503602375859,0.13102013267906107,1.9797256575434206,lebowski,E2 pair (a)
FOD,RFS (rater),78,-2.1250317276828876,-2.7097969466266076,-1.5473738608503858,lebowski,E2 pair (a)
FOD,ADE dec1-9,3175,1.741423598266812,1.5123224757228475,2.003653524097346,lebowski,E2 pair (a)
FOD,ADE pre_onset dec1-9,252,2.371800266461771,1.4899720543577972,3.3839726613020957,lebowski,E2 pair (a)
Intersections,RFS (rater),116,-2.558843660294623,-2.961651713565964,-2.1488053741283584,lebowski,E2 pair (a)
Intersections,ADE dec1-9,4299,1.7560489173458957,1.6018472352441613,1.912238054200105,lebowski,E2 pair (a)
Intersections,ADE pre_onset dec1-9,301,2.117369039212308,1.4582416329827326,2.8271232368903285,lebowski,E2 pair (a)
all,RFS (rater),478,-0.029116148043895233,-0.10215419271432105,0.046902575661221114,lebowski,E2 hard (a)
all,ADE dec1-9,17389,0.15259809002918165,0.13594746618560535,0.16891498374564273,lebowski,E2 hard (a)
all,ADE pre_onset dec1-9,1245,0.10031568006468909,0.04696260007559178,0.15643337781679273,lebowski,E2 hard (a)
Pedestrians,RFS (rater),52,-0.1454148113195397,-0.3938543715304082,0.12188884086854916,lebowski,E2 hard (a)
Pedestrians,ADE dec1-9,1637,0.1419847102638267,0.09136214916444466,0.19545228496908212,lebowski,E2 hard (a)
Pedestrians,ADE pre_onset dec1-9,83,0.22484306160113854,-0.024560702228189502,0.45889092423238326,lebowski,E2 hard (a)
Cyclists,RFS (rater),71,-0.05996709284212929,-0.2028813262253117,0.07218218979662634,lebowski,E2 hard (a)
Cyclists,ADE dec1-9,2326,0.11803103587740654,0.07695068047996656,0.1581736262542025,lebowski,E2 hard (a)
Cyclists,ADE pre_onset dec1-9,206,0.1511581619457085,0.046041967798871715,0.2519877870230151,lebowski,E2 hard (a)
Cut_ins,RFS (rater),20,0.3252226801963257,-0.09647421051051235,0.8779588284496884,lebowski,E2 hard (a)
Cut_ins,ADE dec1-9,724,0.18435891926812312,0.09799450710888416,0.2642371730984146,lebowski,E2 hard (a)
Cut_ins,ADE pre_onset dec1-9,16,0.21818033432553333,-0.1925288842645043,0.47468114555005203,lebowski,E2 hard (a)
FOD,RFS (rater),78,0.08617049784182691,-0.11681170943957812,0.3040747388869303,lebowski,E2 hard (a)
FOD,ADE dec1-9,3175,0.16736952638032812,0.12201864633071274,0.2124063669658121,lebowski,E2 hard (a)
FOD,ADE pre_onset dec1-9,252,0.07024277664856327,-0.050496127722649164,0.20272269862582035,lebowski,E2 hard (a)
Intersections,RFS (rater),116,-0.09085353085952828,-0.2357404950519275,0.0463867205434316,lebowski,E2 hard (a)
Intersections,ADE dec1-9,4299,0.16501854512298544,0.13137930557544655,0.19909610868775182,lebowski,E2 hard (a)
Intersections,ADE pre_onset dec1-9,301,0.14513947763941767,0.05255935616358844,0.2511459789163202,lebowski,E2 hard (a)
all,RFS (rater),478,-0.07070266004926429,-0.17769762768109076,0.03579210704643054,lebowski,E2 uniform (a)
