scope,n,activation,lo,hi,delta_mag_median_m,model,arm,tau
Cyclists,2830,0.0007067137809187279,0.0,0.001808334620004553,0.6658284490603921,cinque,E2 uniform (a),1.141517162322998
Cut_ins,885,0.0011299435028248588,0.0,0.0036540803897685747,0.7245242872979006,cinque,E2 uniform (a),1.141517162322998
FOD,3561,0.001965739960685201,0.00027831895352073476,0.004352924236474025,0.7493870341896102,cinque,E2 uniform (a),1.141517162322998
Intersections,4772,0.0010477787091366304,0.0,0.0026229794983384292,0.701018306684437,cinque,E2 uniform (a),1.141517162322998
straight_yaw,11597,0.0,0.0,0.0,0.09156661320849421,cinque,E2 pair qwen (a),1.1452840566635132
pre_onset,1458,0.0,0.0,0.0,0.07933805078397768,cinque,E2 pair qwen (a),1.1452840566635132
all,19663,0.0,0.0,0.0,0.08757343876693452,cinque,E2 pair qwen (a),1.1452840566635132
Pedestrians,1831,0.0,0.0,0.0,0.08723110046924253,cinque,E2 pair qwen (a),1.1452840566635132
Cyclists,2830,0.0,0.0,0.0,0.09044318484090083,cinque,E2 pair qwen (a),1.1452840566635132
Cut_ins,885,0.0,0.0,0.0,0.09153889331367918,cinque,E2 pair qwen (a),1.1452840566635132
FOD,3561,0.0,0.0,0.0,0.08312103316574286,cinque,E2 pair qwen (a),1.1452840566635132
Intersections,4772,0.0,0.0,0.0,0.08777521954688514,cinque,E2 pair qwen (a),1.1452840566635132
straight_yaw,11597,0.0,0.0,0.0,0.0,cinque,E2 pair op (a),1.1648510098457336
pre_onset,1458,0.0,0.0,0.0,0.0,cinque,E2 pair op (a),1.1648510098457336
all,19663,0.0,0.0,0.0,0.0,cinque,E2 pair op (a),1.1648510098457336
Pedestrians,1831,0.0,0.0,0.0,0.0,cinque,E2 pair op (a),1.1648510098457336
Cyclists,2830,0.0,0.0,0.0,0.0,cinque,E2 pair op (a),1.1648510098457336
Cut_ins,885,0.0,0.0,0.0,0.0,cinque,E2 pair op (a),1.1648510098457336
FOD,3561,0.0,0.0,0.0,0.0,cinque,E2 pair op (a),1.1648510098457336
Intersections,4772,0.0,0.0,0.0,0.0,cinque,E2 pair op (a),1.1648510098457336
straight_yaw,11597,0.0,0.0,0.0,0.09156660343561704,lebowski,E2 pair (a),1.162192702293396
pre_onset,1458,0.0,0.0,0.0,0.0793380464954381,lebowski,E2 pair (a),1.162192702293396
all,19663,0.0,0.0,0.0,0.08757347379489612,lebowski,E2 pair (a),1.162192702293396
Pedestrians,1831,0.0,0.0,0.0,0.08723109244120185,lebowski,E2 pair (a),1.162192702293396
Cyclists,2830,0.0,0.0,0.0,0.09044317063597007,lebowski,E2 pair (a),1.162192702293396
Cut_ins,885,0.0,0.0,0.0,0.09153890063113217,lebowski,E2 pair (a),1.162192702293396
FOD,3561,0.0,0.0,0.0,0.0831210318212933,lebowski,E2 pair (a),1.162192702293396
Intersections,4772,0.0,0.0,0.0,0.0877752326511857,lebowski,E2 pair (a),1.162192702293396
straight_yaw,11597,0.0,0.0,0.0,0.668945830252455,lebowski,E2 hard (a),1.1790796220302582
pre_onset,1458,0.0,0.0,0.0,0.49181365095383367,lebowski,E2 hard (a),1.1790796220302582
all,19663,0.0,0.0,0.0,0.582410820308185,lebowski,E2 hard (a),1.1790796220302582
Pedestrians,1831,0.0,0.0,0.0,0.5558824863231238,lebowski,E2 hard (a),1.1790796220302582
Cyclists,2830,0.0,0.0,0.0,0.5165667896369885,lebowski,E2 hard (a),1.1790796220302582
Cut_ins,885,0.0,0.0,0.0,0.6200301034005409,lebowski,E2 hard (a),1.1790796220302582
FOD,3561,0.0,0.0,0.0,0.6188438304963549,lebowski,E2 hard (a),1.1790796220302582
Intersections,4772,0.0,0.0,0.0,0.6030521732511307,lebowski,E2 hard (a),1.1790796220302582
straight_yaw,11597,0.0,0.0,0.0,0.887945463106291,lebowski,E2 uniform (a),1.1570704579353333
pre_onset,1458,0.0,0.0,0.0,0.5306592205608172,lebowski,E2 uniform (a),1.1570704579353333
all,19663,0.0,0.0,0.0,0.7771216855959527,lebowski,E2 uniform (a),1.1570704579353333
Pedestrians,1831,0.0,0.0,0.0,0.7527635408415531,lebowski,E2 uniform (a),1.1570704579353333
Cyclists,2830,0.0,0.0,0.0,0.7335861985698997,lebowski,E2 uniform (a),1.1570704579353333
Cut_ins,885,0.0,0.0,0.0,0.8604510274685682,lebowski,E2 uniform (a),1.1570704579353333
FOD,3561,0.0,0.0,0.0,0.8031389188423184,lebowski,E2 uniform (a),1.1570704579353333
Intersections,4772,0.0,0.0,0.0,0.7863931649684837,lebowski,E2 uniform (a),1.1570704579353333
straight_yaw,11597,0.0,0.0,0.0,0.09156661320849421,lebowski,E2 pair qwen (a),1.162192702293396
pre_onset,1458,0.0,0.0,0.0,0.07933805078397768,lebowski,E2 pair qwen (a),1.162192702293396
all,19663,0.0,0.0,0.0,0.08757343876693452,lebowski,E2 pair qwen (a),1.162192702293396
Pedestrians,1831,0.0,0.0,0.0,0.08723110046924253,lebowski,E2 pair qwen (a),1.162192702293396
Cyclists,2830,0.0,0.0,0.0,0.09044318484090083,lebowski,E2 pair qwen (a),1.162192702293396
Cut_ins,885,0.0,0.0,0.0,0.09153889331367918,lebowski,E2 pair qwen (a),1.162192702293396
FOD,3561,0.0,0.0,0.0,0.08312103316574286,lebowski,E2 pair qwen (a),1.162192702293396
Intersections,4772,0.0,0.0,0.0,0.08777521954688514,lebowski,E2 pair qwen (a),1.162192702293396
straight_yaw,11597,0.0,0.0,0.0,0.0,lebowski,E2 pair op (a),1.170272946357727
pre_onset,1458,0.0,0.0,0.0,0.0,lebowski,E2 pair op (a),1.170272946357727
all,19663,0.0,0.0,0.0,0.0,lebowski,E2 pair op (a),1.170272946357727
Pedestrians,1831,0.0,0.0,0.0,0.0,lebowski,E2 pair op (a),1.170272946357727
